state,county,2003 Continuum,2003 Influence,Less high 1990,High diploma 1990,Some college 1990,Bachelors or higher 1990,Per less high 1990,Per high diploma 1990,Per some college 1990,Per bachelors or higher 1990,Less high 2000,High diploma 2000,Some college 2000,Bachelors or higher 2000,Per less high 2000,Per high diploma 2000,Per some college 2000,Per bachelors or higher 2000,2013 Continuum,2013 Urban Influence Code,Less high 2011,High diploma 2011,Some college 2011,Bachelors or higher 2011,Per less high 2011,Per high diploma 2011,Per some college 2011,Per bachelors or higher 2011
Utah,Salt Lake County,2,2,58546,105528,139572,95027,14.7,26.5,35.0,23.8,67085,122409,180328,139631,13.2,24.0,35.4,27.4,1,1,69359,151131,229993,213368,10.4,22.8,34.6,32.1
Utah,San Juan County,7,11,2490,1381,1505,808,40.3,22.3,24.3,13.1,2214,1722,2338,1016,30.4,23.6,32.1,13.9,7,9,1400,2682,2827,1610,16.4,31.5,33.2,18.9
Utah,Sanpete County,6,6,1441,2534,2787,1252,18.0,31.6,34.8,15.6,1769,3341,4420,1992,15.4,29.0,38.4,17.3,6,6,1767,4276,6547,3251,11.2,27.0,41.3,20.5
Utah,Sevier County,7,11,1517,3160,2634,1058,18.1,37.8,31.5,12.6,1484,3594,3804,1598,14.2,34.3,36.3,15.2,7,11,1221,4285,5135,2083,9.6,33.7,40.4,16.4
Utah,Summit County,2,2,763,2224,3123,2996,8.4,24.4,34.3,32.9,1372,3153,5478,8363,7.5,17.2,29.8,45.5,4,3,1677,3923,6858,12845,6.6,15.5,27.1,50.8
Utah,Tooele County,2,2,3297,5278,4306,1637,22.7,36.4,29.7,11.3,3129,7189,7976,3458,14.4,33.0,36.7,15.9,1,1,2649,11142,13170,7773,7.6,32.1,37.9,22.4
Utah,Uintah County,7,8,3010,4025,3107,1284,26.3,35.2,27.2,11.2,2775,4945,4206,1810,20.2,36.0,30.6,13.2,7,8,2684,7072,7364,3247,13.2,34.7,36.2,15.9
Utah,Utah County,2,2,13839,25013,45583,30003,12.1,21.9,39.8,26.2,15177,31855,66915,52293,9.1,19.2,40.3,31.5,2,2,17956,44857,104748,99866,6.7,16.8,39.2,37.3
Utah,Wasatch County,6,6,901,1813,1668,996,16.8,33.7,31.0,18.5,906,2111,3206,2225,10.7,25.0,37.9,26.3,6,3,1325,3250,5885,5277,8.4,20.7,37.4,33.5
Utah,Washington County,3,2,4043,7698,9714,4617,15.5,29.5,37.3,17.7,6442,13847,20685,10868,12.4,26.7,39.9,21.0,3,2,6846,22576,37608,24864,7.4,24.6,40.9,27.1
Utah,Wayne County,9,12,223,385,381,248,18.0,31.1,30.8,20.0,171,393,617,312,11.5,26.3,41.3,20.9,9,12,129,450,721,477,7.3,25.3,40.6,26.8
Utah,Weber County,2,2,15564,25436,31837,15968,17.5,28.6,35.9,18.0,16622,30675,41694,22165,15.0,27.6,37.5,19.9,2,2,15193,42196,54276,33448,10.5,29.1,37.4,23.0
Vermont,Addison County,6,6,3587,7221,4073,4993,18.0,36.3,20.5,25.1,3057,7592,5125,6694,13.6,33.8,22.8,29.8,6,6,1975,8055,6192,8937,7.9,32.0,24.6,35.5
Vermont,Bennington County,6,5,5201,7419,5322,5510,22.2,31.6,22.7,23.5,3822,8382,6251,6856,15.1,33.1,24.7,27.1,6,5,2418,8002,6930,8742,9.3,30.7,26.6,33.5
Vermont,Caledonia County,7,9,3945,6873,3322,3325,22.6,39.4,19.0,19.0,3400,7373,4422,4401,17.4,37.6,22.6,22.5,7,9,2146,7814,5826,5853,9.9,36.1,26.9,27.0
Vermont,Chittenden County,3,2,10528,22228,19598,27015,13.3,28.0,24.7,34.0,8693,21784,24036,38138,9.4,23.5,25.9,41.2,3,2,6424,21339,25431,50592,6.2,20.6,24.5,48.7
Vermont,Essex County,9,8,1373,1807,740,365,32.0,42.2,17.3,8.5,1098,2014,799,473,25.0,45.9,18.2,10.8,9,8,728,2030,1180,751,15.5,43.3,25.2,16.0
Vermont,Franklin County,3,2,6235,10200,4775,3533,25.2,41.2,19.3,14.3,5140,12123,7333,4889,17.4,41.1,24.9,16.6,3,2,3521,12580,9469,7892,10.5,37.6,28.3,23.6
Vermont,Grand Isle County,3,2,737,1221,838,712,21.0,34.8,23.9,20.3,756,1622,1220,1198,15.8,33.8,25.4,25.0,3,2,313,1526,1496,1804,6.1,29.7,29.1,35.1
Vermont,Lamoille County,8,7,2430,4249,2669,2937,19.8,34.6,21.7,23.9,1993,4669,3845,4774,13.0,30.6,25.2,31.2,8,7,1357,4927,4688,6233,7.9,28.6,27.2,36.2
Vermont,Orange County,9,8,3239,6410,3278,3630,19.6,38.7,19.8,21.9,3000,7047,4283,4491,15.9,37.4,22.8,23.9,9,8,1768,7267,5357,6410,8.5,34.9,25.8,30.8
Vermont,Orleans County,7,11,4458,5767,2842,2165,29.3,37.9,18.7,14.2,3876,7260,3806,2872,21.8,40.8,21.4,16.1,7,11,2680,7588,4988,4329,13.7,38.7,25.5,22.1
Vermont,Rutland County,5,8,8329,14483,9384,8329,20.6,35.7,23.2,20.6,6802,15500,10943,10044,15.7,35.8,25.3,23.2,4,5,4043,14822,11874,12603,9.3,34.2,27.4,29.1
Vermont,Washington County,4,5,6652,12782,7472,8697,18.7,35.9,21.0,24.4,4540,12353,9660,12614,11.6,31.5,24.7,32.2,4,5,2579,12241,10424,16748,6.1,29.2,24.8,39.9
Vermont,Windham County,6,6,5039,9648,5864,6939,18.3,35.1,21.3,25.2,3891,9977,7359,9315,12.7,32.7,24.1,30.5,7,9,2666,9798,8012,11411,8.4,30.7,25.1,35.8
Vermont,Windsor County,7,8,6884,13122,8147,8704,18.7,35.6,22.1,23.6,4828,13108,10416,12266,11.9,32.3,25.6,30.2,7,8,3167,13281,10717,14713,7.6,31.7,25.6,35.1
Virginia,Accomack County,7,9,8758,7256,3636,1993,40.5,33.5,16.8,9.2,8303,8828,5255,3508,32.1,34.1,20.3,13.5,8,6,4650,9431,5129,4440,19.7,39.9,21.7,18.8
Virginia,Albemarle County,3,2,7773,8418,9321,16590,18.5,20.0,22.1,39.4,6759,9591,11822,25675,12.6,17.8,22.0,47.7,3,2,5997,12553,14849,35686,8.7,18.2,21.5,51.7
Virginia,Alexandria City,1,1,10741,12812,18657,39824,13.1,15.6,22.7,48.5,12597,12115,19036,51982,13.2,12.7,19.9,54.3,1,1,9646,13818,20508,69844,8.5,12.1,18.0,61.4
Virginia,Alleghany County,6,6,2889,3291,1862,824,32.6,37.1,21.0,9.3,2060,3596,2268,1244,22.5,39.2,24.7,13.6,6,6,1936,4350,3637,1855,16.4,36.9,30.9,15.7
Virginia,Amelia County,1,1,2529,2007,833,419,43.7,34.7,14.4,7.2,2473,2814,1742,760,31.7,36.1,22.4,9.8,1,1,1827,3073,2807,1311,20.3,34.1,31.1,14.5
Virginia,Amherst County,3,2,7702,5724,3305,2014,41.1,30.5,17.6,10.7,6265,7108,5138,2782,29.4,33.4,24.1,13.1,2,2,3859,8002,6466,4108,17.2,35.7,28.8,18.3
Virginia,Appomattox County,3,2,3181,3003,1281,711,38.9,36.7,15.7,8.7,2759,3610,2062,990,29.3,38.3,21.9,10.5,2,2,1723,3890,3247,1906,16.0,36.1,30.2,17.7
Virginia,Arlington County,1,1,15697,18579,25723,65777,12.5,14.8,20.5,52.3,16925,16274,22032,83613,12.2,11.7,15.9,60.2,1,1,10987,13982,20709,122781,6.5,8.3,12.3,72.9
Virginia,Augusta County,4,5,11298,13986,6920,4257,31.0,38.4,19.0,11.7,9955,18348,10277,7029,21.8,40.2,22.5,15.4,3,2,7475,21408,12711,11727,14.0,40.1,23.8,22.0
Virginia,Bath County,9,10,1098,1250,579,428,32.7,37.3,17.3,12.8,965,1448,880,412,26.0,39.1,23.8,11.1,8,7,412,1330,931,746,12.1,38.9,27.2,21.8
Virginia,Bedford County,3,2,9721,9670,6896,4842,31.2,31.1,22.2,15.6,8431,13899,11214,8869,19.9,32.8,26.4,20.9,2,2,6507,16926,16583,14590,11.9,31.0,30.4,26.7
Virginia,Bland County,8,7,1690,1607,1009,208,37.4,35.6,22.4,4.6,1451,1903,1178,457,29.1,38.1,23.6,9.2,8,7,747,2006,1607,718,14.7,39.5,31.6,14.1
Virginia,Botetourt County,2,2,4639,5879,4263,2332,27.1,34.4,24.9,13.6,4018,7333,6028,4242,18.6,33.9,27.9,19.6,2,2,2131,8336,7135,6248,8.9,35.0,29.9,26.2
Virginia,Bristol City,3,2,4901,3177,2708,1733,39.1,25.4,21.6,13.8,3410,3623,3227,2106,27.6,29.3,26.1,17.0,2,2,2172,4055,3259,2889,17.6,32.8,26.3,23.3
Virginia,Brunswick County,6,4,5053,2786,1656,715,49.5,27.3,16.2,7.0,4708,3959,2726,1384,36.8,31.0,21.3,10.8,6,4,2908,4312,3276,1584,24.1,35.7,27.1,13.1
Virginia,Buchanan County,9,10,11194,4518,2501,1254,57.5,23.2,12.8,6.4,8887,5188,3276,1500,47.1,27.5,17.4,8.0,9,10,5290,6024,4488,1735,30.2,34.4,25.6,9.9
Virginia,Buckingham County,8,7,4062,2843,1156,691,46.4,32.5,13.2,7.9,4055,4143,1766,929,37.2,38.0,16.2,8.5,3,2,2807,5351,2871,1282,22.8,43.5,23.3,10.4
Virginia,Buena Vista City,6,6,1865,1334,629,367,44.5,31.8,15.0,8.7,1317,1446,1042,445,31.0,34.0,24.5,10.5,6,6,745,1663,1023,675,18.1,40.5,24.9,16.4
Virginia,Campbell County,3,2,10489,9458,7026,4004,33.9,30.5,22.7,12.9,9305,11683,8923,5107,26.6,33.4,25.5,14.6,2,2,5877,13932,11392,7442,15.2,36.1,29.5,19.3
Virginia,Caroline County,1,1,5094,4286,1950,1020,41.2,34.7,15.8,8.3,4321,5685,3255,1821,28.7,37.7,21.6,12.1,1,1,3543,7299,5247,3816,17.8,36.7,26.4,19.2
Virginia,Carroll County,6,6,9199,5234,2668,1193,50.3,28.6,14.6,6.5,7498,7131,4386,1991,35.7,33.9,20.9,9.5,7,9,4425,7563,6760,3180,20.2,34.5,30.8,14.5
Virginia,Charles City County,1,1,1853,1319,719,356,43.6,31.1,16.9,8.4,1663,1675,996,511,34.3,34.6,20.6,10.5,1,1,1323,2128,1262,706,24.4,39.3,23.3,13.0
Virginia,Charlotte County,8,7,3708,2453,1083,502,47.9,31.7,14.0,6.5,3151,2984,1553,882,36.8,34.8,18.1,10.3,8,7,1880,3211,2261,1197,22.0,37.6,26.4,14.0
Virginia,Charlottesville City,3,2,5801,5173,4629,8071,24.5,21.9,19.6,34.1,4382,4900,4263,9323,19.2,21.4,18.6,40.8,3,2,2725,6173,5061,13844,9.8,22.2,18.2,49.8
Virginia,Chesapeake City,1,1,21505,28888,27680,15873,22.9,30.7,29.5,16.9,18647,34840,41068,30943,14.9,27.8,32.7,24.7,1,1,13550,40278,53229,45065,8.9,26.5,35.0,29.6
Virginia,Chesterfield County,1,1,20602,33999,37386,38019,15.8,26.2,28.8,29.2,19828,41479,51216,54514,11.9,24.8,30.7,32.6,1,1,19587,52226,64958,79969,9.0,24.1,30.0,36.9
Virginia,Clarke County,1,1,2087,2853,1858,1550,25.0,34.2,22.3,18.6,1618,2963,2278,2156,17.9,32.9,25.3,23.9,1,1,1254,2856,2923,3156,12.3,28.0,28.7,31.0
Virginia,Colonial Heights City,1,1,2460,4064,2712,1850,22.2,36.7,24.5,16.7,1906,4021,3534,2214,16.3,34.4,30.3,19.0,1,1,1457,4245,3739,2618,12.1,35.2,31.0,21.7
Virginia,Covington City,6,6,1722,1856,939,339,35.5,38.2,19.3,7.0,1284,1785,1130,286,28.6,39.8,25.2,6.4,6,6,666,1729,1212,369,16.8,43.5,30.5,9.3
Virginia,Craig County,2,2,943,1311,501,229,31.6,43.9,16.8,7.7,834,1453,889,385,23.4,40.8,25.0,10.8,2,2,401,1864,1020,564,10.4,48.4,26.5,14.7
Virginia,Culpeper County,6,4,5938,5841,3406,2652,33.3,32.7,19.1,14.9,5941,8086,5045,3556,26.3,35.7,22.3,15.7,1,1,5232,11005,8955,7066,16.2,34.1,27.8,21.9
Virginia,Cumberland County,1,1,2171,1572,811,572,42.4,30.7,15.8,11.2,2237,2079,1135,732,36.2,33.6,18.4,11.8,8,4,1533,2480,1798,989,22.5,36.5,26.4,14.5
Virginia,Danville City,3,2,15386,9508,6774,4489,42.6,26.3,18.7,12.4,10454,10198,7937,4607,31.5,30.7,23.9,13.9,4,5,6227,8206,9560,5216,21.3,28.1,32.7,17.9
Virginia,Dickenson County,9,12,5924,3168,1431,666,52.9,28.3,12.8,6.0,4643,3951,1961,753,41.1,34.9,17.3,6.7,9,8,2765,3956,3169,1226,24.9,35.6,28.5,11.0
Virginia,Dinwiddie County,1,1,5716,4732,2372,1182,40.8,33.8,16.9,8.4,5167,6525,3612,1895,30.0,37.9,21.0,11.0,1,1,3555,7764,5247,2992,18.2,39.7,26.8,15.3
Virginia,Emporia City,6,4,1492,927,662,478,41.9,26.0,18.6,13.4,1566,1089,585,535,41.5,28.8,15.5,14.2,6,4,995,1281,943,711,25.3,32.6,24.0,18.1
Virginia,Essex County,8,4,2095,1863,1005,974,35.3,31.4,16.9,16.4,1867,2455,1505,1225,26.5,34.8,21.3,17.4,6,4,1388,3015,2238,1189,17.7,38.5,28.6,15.2
Virginia,Fairfax City,1,1,1645,2619,3466,5447,12.5,19.9,26.3,41.3,1736,2972,3565,6949,11.4,19.5,23.4,45.7,1,1,1246,2507,3691,9049,7.6,15.2,22.4,54.9
Virginia,Fairfax County,1,1,46562,91675,137320,264673,8.6,17.0,25.4,49.0,60477,90642,144257,357861,9.3,13.9,22.1,54.8,1,1,61655,99450,146280,459117,8.0,13.0,19.1,59.9
Virginia,Falls Church City,1,1,607,1050,1670,3720,8.6,14.9,23.7,52.8,308,938,1460,4758,4.1,12.6,19.6,63.7,1,1,209,683,1035,7150,2.3,7.5,11.4,78.8
Virginia,Fauquier County,1,1,6628,9580,8490,6764,21.1,30.4,27.0,21.5,5702,10283,10851,9956,15.5,27.9,29.5,27.1,1,1,4029,13052,13395,15376,8.8,28.5,29.2,33.5
Virginia,Floyd County,8,7,3277,2853,1257,853,39.8,34.6,15.3,10.4,2945,3759,1902,1230,29.9,38.2,19.3,12.5,3,2,1900,4019,3312,2048,16.8,35.6,29.4,18.2
Virginia,Fluvanna County,3,2,2594,2553,1746,1339,31.5,31.0,21.2,16.3,2820,4597,3253,3455,20.0,32.5,23.0,24.5,3,2,2090,5243,5298,5811,11.3,28.4,28.7,31.5
Virginia,Franklin City,6,4,1964,1353,1101,742,38.1,26.2,21.3,14.4,1638,1554,1524,926,29.0,27.5,27.0,16.4,6,4,1128,1418,1660,1495,19.8,24.9,29.1,26.2
Virginia,Franklin County,2,2,10431,8225,4757,2631,40.1,31.6,18.3,10.1,9192,10765,8198,4882,27.8,32.6,24.8,14.8,2,2,6455,12951,12725,8304,16.0,32.0,31.5,20.5
Virginia,Frederick County,3,2,8803,10010,6254,4335,29.9,34.0,21.3,14.7,8413,14025,9542,7291,21.4,35.7,24.3,18.6,3,2,7016,16942,15481,16182,12.6,30.5,27.8,29.1
Virginia,Fredericksburg City,1,1,2918,3424,1878,2898,26.2,30.8,16.9,26.1,2219,3086,2483,3423,19.8,27.5,22.1,30.5,1,1,1449,4325,4291,5998,9.0,26.9,26.7,37.3
Virginia,Galax City,6,6,2022,1206,865,519,43.8,26.1,18.8,11.3,1893,1370,989,530,39.6,28.6,20.7,11.1,7,9,1385,1686,1358,580,27.7,33.7,27.1,11.6
Virginia,Giles County,3,2,3977,4328,1898,996,35.5,38.6,16.9,8.9,2855,4842,2683,1476,24.1,40.8,22.6,12.4,3,2,1934,4834,3397,1914,16.0,40.0,28.1,15.8
Virginia,Gloucester County,1,1,5113,6117,5566,2899,26.0,31.1,28.3,14.7,4252,7370,7548,4103,18.3,31.7,32.4,17.6,1,1,2576,8930,9036,5823,9.8,33.9,34.3,22.1
Virginia,Goochland County,1,1,3333,2751,1998,1929,33.3,27.5,20.0,19.3,2601,3598,2448,3601,21.2,29.4,20.0,29.4,1,1,1612,4331,4156,6022,10.0,26.9,25.8,37.4
Virginia,Grayson County,9,12,5514,3570,1705,478,48.9,31.7,15.1,4.2,4702,4928,2404,1052,35.9,37.7,18.4,8.0,9,12,2501,4798,3212,1165,21.4,41.1,27.5,10.0
Virginia,Greene County,3,2,2426,2197,1183,844,36.5,33.0,17.8,12.7,2187,3513,2413,2007,21.6,34.7,23.8,19.8,3,2,1983,4545,3400,3084,15.2,34.9,26.1,23.7
Virginia,Greensville County,6,4,2822,1867,655,297,50.0,33.1,11.6,5.3,3263,3376,1028,943,37.9,39.2,11.9,11.0,6,4,2098,3727,2225,757,23.8,42.3,25.3,8.6
Virginia,Halifax County,6,6,11354,7062,3896,1932,46.8,29.1,16.1,8.0,9416,8819,5370,2468,36.1,33.8,20.6,9.5,6,6,5122,9241,7039,3919,20.2,36.5,27.8,15.5
Virginia,Hampton City,1,1,16793,24166,25946,15765,20.3,29.2,31.4,19.1,13402,25890,33047,20138,14.5,28.0,35.7,21.8,1,1,9112,24568,35381,20872,10.1,27.3,39.3,23.2
