county,nov_rate,state,year,2004_pop_est,total area sqmi,water area,land area
Buena Vista County,3.7,Iowa,2004,20000,580.07,5.28,574.78
Butler County,4,Iowa,2004,14985,581.56,1.18,580.38
Calhoun County,3.8,Iowa,2004,10382,572.29,2.14,570.15
Carroll County,2.7,Iowa,2004,20936,570.24,0.92,569.31
Cass County,4.4,Iowa,2004,14142,565.01,0.68,564.33
Cedar County,3.7,Iowa,2004,18248,581.96,2.44,579.52
Cerro Gordo County,4.2,Iowa,2004,44993,575.12,6.8,568.33
Cherokee County,4.2,Iowa,2004,12510,577.34,0.18,577.15
Chickasaw County,5,Iowa,2004,12691,505.48,0.84,504.64
Clarke County,5.3,Iowa,2004,9307,431.72,0.6,431.12
Clay County,3.7,Iowa,2004,16960,572.51,3.63,568.89
Clayton County,6.2,Iowa,2004,18358,792.81,14,778.81
Clinton County,5,Iowa,2004,49498,710.19,15.21,694.98
Crawford County,3.2,Iowa,2004,16941,714.99,0.63,714.36
Dallas County,3.1,Iowa,2004,50387,591.73,5.26,586.47
Davis County,4.8,Iowa,2004,8612,504.89,1.65,503.24
Decatur County,4.6,Iowa,2004,8580,533.32,1.52,531.8
Delaware County,3.8,Iowa,2004,18066,579.05,1.19,577.85
Des Moines County,5.4,Iowa,2004,40562,429.8,13.65,416.15
Dickinson County,4,Iowa,2004,16506,403.69,22.63,381.06
Dubuque County,4,Iowa,2004,90462,616.56,8.41,608.16
Emmet County,3.8,Iowa,2004,10553,402.38,6.63,395.74
Fayette County,4.6,Iowa,2004,21415,731.45,0.52,730.92
Floyd County,4.3,Iowa,2004,16586,501.31,0.74,500.56
Franklin County,4.2,Iowa,2004,10716,583.01,0.57,582.44
Fremont County,4.3,Iowa,2004,7655,516.76,5.68,511.08
Greene County,4.1,Iowa,2004,9932,571.13,2.72,568.41
Grundy County,3.3,Iowa,2004,12383,502.55,0.03,502.51
Guthrie County,3.1,Iowa,2004,11389,593.06,2.46,590.6
Hamilton County,4.3,Iowa,2004,16285,577.44,0.76,576.68
Hancock County,3.9,Iowa,2004,11838,573.14,2.03,571.11
Hardin County,5.1,Iowa,2004,18164,569.93,0.68,569.26
Harrison County,5.2,Iowa,2004,15412,700.93,4.2,696.72
Henry County,5.7,Iowa,2004,20225,436.68,2.24,434.44
Howard County,4.1,Iowa,2004,9792,473.76,0.36,473.4
Humboldt County,3.5,Iowa,2004,10121,435.73,1.31,434.41
Ida County,4,Iowa,2004,7457,432.23,0.52,431.71
Iowa County,4,Iowa,2004,16108,587.35,0.9,586.45
Jackson County,5,Iowa,2004,20146,649.75,13.66,636.09
Jasper County,5.8,Iowa,2004,37645,732.93,2.94,729.99
Jefferson County,4.7,Iowa,2004,16298,436.72,1.38,435.34
Johnson County,3.3,Iowa,2004,118891,623.35,8.87,614.48
Jones County,4.2,Iowa,2004,20613,576.7,1.39,575.31
Keokuk County,4.4,Iowa,2004,11061,579.94,0.75,579.19
Kossuth County,3.7,Iowa,2004,16437,974.39,1.38,973.01
Lee County,6.3,Iowa,2004,36587,538.77,21.37,517.39
Linn County,4.4,Iowa,2004,198314,724.55,7.1,717.44
Louisa County,4.6,Iowa,2004,12115,417.64,15.73,401.92
Lucas County,5.5,Iowa,2004,9508,434.17,3.63,430.55
Lyon County,3,Iowa,2004,11692,587.63,0.13,587.5
Madison County,3.6,Iowa,2004,14733,562.3,1.16,561.14
Mahaska County,4,Iowa,2004,22240,573.4,2.53,570.87
Marion County,3.8,Iowa,2004,32618,570.53,16.32,554.21
Marshall County,5.2,Iowa,2004,39711,573.02,0.7,572.32
Mills County,4.3,Iowa,2004,14715,439.67,3.13,436.53
Mitchell County,3.6,Iowa,2004,10898,469.4,0.47,468.92
Monona County,5,Iowa,2004,9681,698.85,5.73,693.12
Monroe County,5,Iowa,2004,7969,434.11,0.7,433.41
Montgomery County,3.9,Iowa,2004,11191,424.81,0.93,423.88
Muscatine County,4,Iowa,2004,41758,449.07,10.4,438.67
O'Brien County,3.4,Iowa,2004,14564,573.25,0.17,573.08
Osceola County,3.7,Iowa,2004,6863,399.48,0.71,398.77
Page County,3.7,Iowa,2004,16227,535.35,0.52,534.82
Palo Alto County,3.5,Iowa,2004,9753,569.4,5.57,563.83
Plymouth County,3.7,Iowa,2004,25042,863.96,0.39,863.56
Pocahontas County,4.7,Iowa,2004,8003,579.13,1.42,577.7
Polk County,4.1,Iowa,2004,392164,591.9,22.55,569.35
Pottawattamie County,4.8,Iowa,2004,89762,959.94,5.68,954.26
Poweshiek County,4.5,Iowa,2004,19106,586.17,1.14,585.03
Ringgold County,4.2,Iowa,2004,5335,538.92,1.26,537.67
Sac County,3.5,Iowa,2004,10871,578.38,2.56,575.82
Scott County,4.7,Iowa,2004,158145,468.17,10.24,457.93
Shelby County,3.5,Iowa,2004,12750,591.37,0.54,590.83
Sioux County,2.5,Iowa,2004,32547,768.58,0.7,767.88
Story County,2.9,Iowa,2004,82754,573.7,0.84,572.86
Tama County,6.7,Iowa,2004,18167,722.37,1.07,721.3
Taylor County,3.7,Iowa,2004,6689,534.83,0.87,533.95
Union County,4.8,Iowa,2004,12085,425.95,1.57,424.39
Van Buren County,4.7,Iowa,2004,7665,490.55,5.73,484.82
Wapello County,5.3,Iowa,2004,35709,435.98,4.17,431.81
Warren County,3.5,Iowa,2004,42584,573.21,1.56,571.64
Washington County,3.7,Iowa,2004,21258,570.77,2.06,568.71
Wayne County,4.9,Iowa,2004,6561,527.08,1.48,525.6
Webster County,4.7,Iowa,2004,38922,718.05,2.82,715.23
Winnebago County,3.6,Iowa,2004,11321,401.57,1.1,400.47
Winneshiek County,3.6,Iowa,2004,21040,689.88,0.27,689.61
Woodbury County,4.9,Iowa,2004,101816,877.39,4.79,872.59
Worth County,4.1,Iowa,2004,7731,401.71,1.71,400
Wright County,4.2,Iowa,2004,13808,582.54,1.82,580.72
Allen County,5.4,Kansas,2004,13923,505.18,2.18,503.01
Anderson County,5.5,Kansas,2004,8101,584.29,1.38,582.92
Atchison County,5.3,Kansas,2004,16937,435.04,2.7,432.34
Barber County,4,Kansas,2004,5004,1136.21,2.1,1134.11
Barton County,4.2,Kansas,2004,27390,900.46,6.46,894
Bourbon County,5.3,Kansas,2004,15110,638.82,1.73,637.09
Brown County,5,Kansas,2004,10253,572.2,1.52,570.67
Butler County,5.4,Kansas,2004,61849,1446.42,18.57,1427.85
Chase County,3.6,Kansas,2004,2996,778.01,2.12,775.89
Chautauqua County,5.1,Kansas,2004,4139,644.83,3.14,641.69
Cherokee County,6.4,Kansas,2004,22124,590.96,3.85,587.12
Cheyenne County,4.8,Kansas,2004,2922,1020.84,0.95,1019.88
Clark County,3.8,Kansas,2004,2358,977.2,2.52,974.68
Clay County,4.2,Kansas,2004,8447,655.44,11.6,643.84
Cloud County,3.6,Kansas,2004,9739,718.47,2.84,715.63
Coffey County,5.2,Kansas,2004,8694,654.57,24.82,629.75
Comanche County,3.3,Kansas,2004,1905,789.7,1.39,788.31
Cowley County,5.6,Kansas,2004,36317,1132.6,6.37,1126.24
Crawford County,5.9,Kansas,2004,38656,595.05,2.14,592.91
Decatur County,3.6,Kansas,2004,3239,894.18,0.63,893.55
Dickinson County,4.5,Kansas,2004,19189,852.12,4.2,847.92
Doniphan County,6,Kansas,2004,8013,397.07,4.89,392.18
Douglas County,4,Kansas,2004,104826,474.47,17.6,456.87
Edwards County,3.9,Kansas,2004,3231,622.1,0.08,622.02
Elk County,5,Kansas,2004,3073,650.36,3.07,647.29
Ellis County,3.7,Kansas,2004,27457,900.47,0.5,899.97
Ellsworth County,4.3,Kansas,2004,6437,723.44,7.54,715.91
Finney County,4.1,Kansas,2004,37462,1302.62,0.84,1301.77
Ford County,3.6,Kansas,2004,32265,1099.29,0.79,1098.5
Franklin County,5.1,Kansas,2004,25525,576.65,2.8,573.85
Geary County,6.1,Kansas,2004,27149,404.39,19.7,384.69
Gove County,3.2,Kansas,2004,2896,1071.47,0.09,1071.38
Graham County,3.9,Kansas,2004,2786,898.67,0.38,898.29
Grant County,3.8,Kansas,2004,7722,575.04,0.18,574.86
Gray County,2.8,Kansas,2004,5951,869.34,0.44,868.9
Greeley County,4,Kansas,2004,1366,778.01,0,778.01
Greenwood County,6.8,Kansas,2004,7415,1152.59,12.92,1139.67
Hamilton County,3.5,Kansas,2004,2642,997.62,1.13,996.49
Harper County,4.1,Kansas,2004,6261,802.95,1.51,801.44
Harvey County,4.3,Kansas,2004,33549,540.5,1.17,539.33
Haskell County,3.4,Kansas,2004,4238,577.73,0.36,577.37
Hodgeman County,4.1,Kansas,2004,2089,860.24,0.32,859.92
Jackson County,5.3,Kansas,2004,13069,657.86,2.27,655.59
Jefferson County,5.7,Kansas,2004,19042,556.94,20.83,536.11
Jewell County,3.1,Kansas,2004,3349,914.47,5.29,909.18
Johnson County,4.5,Kansas,2004,495396,480.15,3.37,476.78
Kearny County,4.6,Kansas,2004,4231,871.5,0.44,871.06
Kingman County,4.5,Kansas,2004,8439,866.7,3.35,863.35
Kiowa County,3.5,Kansas,2004,3130,722.62,0.23,722.39
Labette County,6.7,Kansas,2004,21911,653.3,4.48,648.82
Lane County,4.6,Kansas,2004,1916,717.43,0.21,717.22
Leavenworth County,5.9,Kansas,2004,71373,468.33,5.06,463.27
Lincoln County,4.1,Kansas,2004,3414,719.94,1.07,718.87
Linn County,6,Kansas,2004,9830,606.29,7.62,598.67
Logan County,3.9,Kansas,2004,2905,1073.09,0.11,1072.99
Lyon County,4.4,Kansas,2004,36034,855.14,4.27,850.87
Marion County,4.5,Kansas,2004,13066,953.54,10.43,943.11
Marshall County,3.6,Kansas,2004,10312,904.36,1.83,902.53
McPherson County,3.9,Kansas,2004,29276,901.24,1.52,899.71
Meade County,3.7,Kansas,2004,4570,979.66,1.24,978.42
Miami County,4.7,Kansas,2004,30158,590.15,13.43,576.72
Mitchell County,3.6,Kansas,2004,6539,718.62,18.8,699.82
Montgomery County,6.4,Kansas,2004,35150,651.4,6.19,645.2
Morris County,5.1,Kansas,2004,5904,702.84,5.46,697.38
Morton County,3.6,Kansas,2004,3326,729.94,0.02,729.92
Nemaha County,3.8,Kansas,2004,10397,719.4,1.41,717.99
Neosho County,4.6,Kansas,2004,16664,578.02,6.27,571.75
Ness County,3.5,Kansas,2004,3219,1075,0.26,1074.75
Norton County,4.3,Kansas,2004,5789,881.39,3.55,877.84
Osage County,5.7,Kansas,2004,16843,719.23,15.72,703.5
Osborne County,4.2,Kansas,2004,4094,894.28,1.89,892.39
Ottawa County,4.3,Kansas,2004,6112,721.9,0.79,721.11
Pawnee County,3.9,Kansas,2004,6975,754.56,0.38,754.17
Phillips County,3.9,Kansas,2004,5749,894.81,8.58,886.23
Pottawatomie County,4.1,Kansas,2004,19193,862.07,17.83,844.24
Pratt County,3.4,Kansas,2004,9492,735.76,0.76,734.99
Rawlins County,4.5,Kansas,2004,2776,1069.72,0.11,1069.62
Reno County,5.1,Kansas,2004,63779,1271.25,16.84,1254.42
Republic County,4.6,Kansas,2004,5285,720.31,3.93,716.38
Rice County,4.5,Kansas,2004,10498,728.3,1.72,726.58
Riley County,3.9,Kansas,2004,64218,622.11,12.55,609.55
Rooks County,5.2,Kansas,2004,5400,895.36,7.02,888.34
Rush County,4.4,Kansas,2004,3442,718.42,0.21,718.21
Russell County,4.8,Kansas,2004,7085,898.98,14.3,884.68
Saline County,4.5,Kansas,2004,54178,721.28,1.67,719.61
Scott County,3.6,Kansas,2004,4713,717.64,0.12,717.52
Sedgwick County,5.6,Kansas,2004,464021,1009.41,10.03,999.38
Seward County,4.1,Kansas,2004,22538,640.51,0.99,639.52
Shawnee County,5.9,Kansas,2004,171378,556.32,6.5,549.82
Sheridan County,3.2,Kansas,2004,2594,896.61,0.25,896.36
Sherman County,3.3,Kansas,2004,6186,1056.01,0.21,1055.8
Smith County,3.8,Kansas,2004,4190,896.53,1.1,895.43
Stafford County,4.1,Kansas,2004,4468,794.72,2.67,792.05
Stanton County,3.3,Kansas,2004,2354,680.06,0.06,680
Stevens County,4.6,Kansas,2004,5626,727.71,0.18,727.53
Sumner County,5.3,Kansas,2004,25146,1184.78,2.98,1181.81
Thomas County,3.6,Kansas,2004,7919,1074.9,0.11,1074.78
Trego County,3.5,Kansas,2004,3120,899.02,10.73,888.29
Wabaunsee County,4.7,Kansas,2004,6823,799.8,2.41,797.38
Wallace County,3.2,Kansas,2004,1562,914.05,0.05,913.99
Washington County,3.7,Kansas,2004,6072,898.84,0.38,898.46
Wichita County,3.5,Kansas,2004,2347,718.54,0.02,718.52
Wilson County,5.1,Kansas,2004,9784,574.97,1.17,573.81
Woodson County,6.8,Kansas,2004,3485,505.45,4.85,500.61
Wyandotte County,8.3,Kansas,2004,154874,155.69,4.3,151.39
Adair County,4.3,Kentucky,2004,17994,412.23,5.39,406.84
Allen County,6.1,Kentucky,2004,18699,352.04,5.92,346.12
Anderson County,3.8,Kentucky,2004,19714,204.28,1.61,202.67
Ballard County,5.5,Kentucky,2004,8242,273.6,22.44,251.16
Barren County,3.8,Kentucky,2004,39601,499.93,8.96,490.97
Bath County,5.1,Kentucky,2004,11447,283.94,4.48,279.46
Bell County,6.1,Kentucky,2004,29275,361.35,0.58,360.77
Boone County,3.7,Kentucky,2004,100822,256.96,10.7,246.26
Bourbon County,4.2,Kentucky,2004,19733,291.66,0.23,291.43
Boyd County,5.1,Kentucky,2004,49542,161.82,1.65,160.17
Boyle County,5.7,Kentucky,2004,27832,182.99,1.09,181.9
Bracken County,5.4,Kentucky,2004,8592,208.89,5.67,203.22
Breathitt County,6.3,Kentucky,2004,14975,495.29,0.09,495.19
Breckinridge County,5.7,Kentucky,2004,19326,585.53,13.12,572.41
Bullitt County,4.5,Kentucky,2004,66937,300.2,1.12,299.08
Butler County,5.9,Kentucky,2004,13044,431.52,3.44,428.08
Caldwell County,4.9,Kentucky,2004,12774,348.18,1.2,346.98
Calloway County,4.3,Kentucky,2004,35327,410.79,24.53,386.25
Campbell County,4.3,Kentucky,2004,87982,159.43,7.87,151.55
Carlisle County,6.2,Kentucky,2004,5261,199.02,6.54,192.49
Carroll County,4.4,Kentucky,2004,10379,137.27,7.18,130.09
Carter County,6.8,Kentucky,2004,27528,412.15,1.55,410.6
Casey County,5.4,Kentucky,2004,15784,445.73,0.12,445.61
Christian County,5.6,Kentucky,2004,71700,724.01,2.69,721.32
Clark County,4.6,Kentucky,2004,34025,255.16,0.85,254.31
Clay County,6.3,Kentucky,2004,23278,471.08,0.07,471.01
Clinton County,5.8,Kentucky,2004,9886,205.54,8.09,197.46
Crittenden County,4.8,Kentucky,2004,9126,370.95,8.81,362.14
Cumberland County,6.3,Kentucky,2004,7189,310.85,5.02,305.82
Daviess County,4.7,Kentucky,2004,92769,476.27,13.88,462.39
Edmonson County,5.5,Kentucky,2004,11804,308.01,5.39,302.62
Elliott County,9,Kentucky,2004,6748,235.2,1.24,233.96
Estill County,6.3,Kentucky,2004,14913,255.7,1.76,253.93
Fayette County,3.6,Kentucky,2004,272377,285.52,1,284.52
Fleming County,5.1,Kentucky,2004,14271,351.47,0.62,350.84
Floyd County,6,Kentucky,2004,41128,395.46,1.16,394.29
Franklin County,3.8,Kentucky,2004,48536,212.11,1.65,210.46
Fulton County,6.7,Kentucky,2004,7274,230.55,21.6,208.95
Gallatin County,5.1,Kentucky,2004,8119,104.67,5.87,98.81
Garrard County,4.8,Kentucky,2004,15941,233.88,2.67,231.21
Grant County,4.5,Kentucky,2004,23856,260.79,0.86,259.93
Graves County,6.7,Kentucky,2004,36789,556.46,0.87,555.59
Grayson County,6.8,Kentucky,2004,24962,510.85,7.17,503.68
Green County,4.2,Kentucky,2004,11408,288.78,0.12,288.66
Greenup County,5,Kentucky,2004,36579,354.51,8.41,346.11
Hancock County,4.8,Kentucky,2004,8389,198.92,10.12,188.8
Hardin County,4.6,Kentucky,2004,95015,629.86,1.88,627.98
Harlan County,6.3,Kentucky,2004,30614,467.97,0.78,467.2
Harrison County,4.7,Kentucky,2004,18233,309.88,0.2,309.68
Hart County,5.2,Kentucky,2004,17821,417.91,1.98,415.93
Henderson County,3.9,Kentucky,2004,45362,467.24,27.11,440.12
Henry County,5,Kentucky,2004,15327,291.11,1.79,289.32
Hickman County,7.8,Kentucky,2004,5093,252.94,8.49,244.44
Hopkins County,4.6,Kentucky,2004,46759,554.23,3.67,550.56
Jackson County,5.4,Kentucky,2004,13476,346.57,0.24,346.33
Jefferson County,4.7,Kentucky,2004,706828,398.58,13.49,385.09
Jessamine County,3.9,Kentucky,2004,42348,174.45,1.32,173.13
Johnson County,5.8,Kentucky,2004,23229,263.94,2.4,261.54
Kenton County,3.9,Kentucky,2004,153138,164.38,2.42,161.97
Knott County,5.7,Kentucky,2004,17093,353.01,0.82,352.19
Knox County,5.5,Kentucky,2004,31371,387.71,0.04,387.66
Larue County,4.4,Kentucky,2004,13615,263.72,0.53,263.2
Laurel County,4.6,Kentucky,2004,55811,443.74,8.07,435.67
Lawrence County,6.7,Kentucky,2004,15664,420.12,1.35,418.78
Lee County,6.5,Kentucky,2004,7950,211.22,1.36,209.86
Leslie County,7.3,Kentucky,2004,11820,404.36,0.33,404.03
Letcher County,6.3,Kentucky,2004,24742,339.12,0.07,339.04
Lewis County,6.7,Kentucky,2004,13827,495.7,11.21,484.49
Lincoln County,5.6,Kentucky,2004,24309,336.47,0.21,336.26
Livingston County,5.1,Kentucky,2004,9589,342.2,26.12,316.08
Logan County,5.1,Kentucky,2004,26632,557.1,1.41,555.68
Lyon County,6.4,Kentucky,2004,8249,256.42,40.71,215.7
Madison County,4.2,Kentucky,2004,76673,443.11,2.42,440.68
Magoffin County,10.4,Kentucky,2004,13297,309.44,0.01,309.44
Marion County,4.2,Kentucky,2004,19066,346.86,0.47,346.39
Marshall County,5.6,Kentucky,2004,30674,340.32,35.43,304.89
Martin County,6.5,Kentucky,2004,13138,230.81,0.11,230.7
Mason County,6.1,Kentucky,2004,16802,246.6,5.49,241.11
McCracken County,4.6,Kentucky,2004,64270,268.08,17.05,251.02
McCreary County,7.2,Kentucky,2004,17469,430.64,2.94,427.7
McLean County,5.8,Kentucky,2004,9841,256.17,1.88,254.3
Meade County,5.5,Kentucky,2004,29600,324.22,15.71,308.51
Menifee County,5.6,Kentucky,2004,6597,206.03,2.13,203.9
Mercer County,4.7,Kentucky,2004,21118,253.11,2.2,250.92
Metcalfe County,3.9,Kentucky,2004,10008,290.96,0.07,290.9
Monroe County,4.1,Kentucky,2004,11348,332.11,1.3,330.81
Montgomery County,5.3,Kentucky,2004,23899,198.8,0.21,198.59
Morgan County,7.4,Kentucky,2004,14319,383.73,2.47,381.26
Muhlenberg County,6.4,Kentucky,2004,31615,479.43,4.71,474.72
Nelson County,4.2,Kentucky,2004,39947,424.07,1.45,422.63
Nicholas County,6.9,Kentucky,2004,7139,196.85,0.24,196.61
Ohio County,4.7,Kentucky,2004,23452,596.73,2.94,593.79
Oldham County,3.6,Kentucky,2004,52830,196.54,7.36,189.19
Owen County,5,Kentucky,2004,10893,354.16,2.02,352.14
Owsley County,6.1,Kentucky,2004,4840,198.09,0,198.09
Pendleton County,4.2,Kentucky,2004,14809,281.87,1.33,280.54
Perry County,6.4,Kentucky,2004,29043,342.64,0.49,342.15
Pike County,5.5,Kentucky,2004,66070,788.84,1.15,787.69
Powell County,6.8,Kentucky,2004,13051,180.2,0.07,180.14
Pulaski County,4.7,Kentucky,2004,59175,677.05,15.45,661.6
Robertson County,5.9,Kentucky,2004,2298,100.11,0.04,100.07
Rockcastle County,4.7,Kentucky,2004,16822,318.06,0.54,317.53
Rowan County,4.3,Kentucky,2004,22185,286.25,5.43,280.82
Russell County,5.3,Kentucky,2004,16851,282.82,29.29,253.53
Scott County,4,Kentucky,2004,38051,285.3,0.57,284.72
Shelby County,3.8,Kentucky,2004,36682,385.65,1.46,384.19
Simpson County,4,Kentucky,2004,16820,236.19,0,236.19
Spencer County,4.2,Kentucky,2004,14358,191.8,5.89,185.9
Taylor County,3.8,Kentucky,2004,23536,277.05,7.22,269.83
Todd County,4.6,Kentucky,2004,11858,376.97,0.62,376.35
Trigg County,4.5,Kentucky,2004,13438,481.13,38.01,443.12
Trimble County,4.4,Kentucky,2004,8843,156.23,7.38,148.85
Union County,4.7,Kentucky,2004,15451,363.43,18.33,345.1
Warren County,3.8,Kentucky,2004,99497,547.69,2.48,545.21
Washington County,4.8,Kentucky,2004,11260,301.52,0.93,300.59
Wayne County,4.7,Kentucky,2004,20473,484.2,24.8,459.4
Webster County,3.4,Kentucky,2004,13969,335.68,0.93,334.75
Whitley County,4.8,Kentucky,2004,36163,445.15,4.99,440.15
Wolfe County,8.6,Kentucky,2004,7076,222.86,0.08,222.78
Woodford County,4.1,Kentucky,2004,23695,191.98,1.3,190.68
Acadia Parish,5.3,Louisiana,2004,59223,657.62,2.33,655.28
Allen Parish,7.6,Louisiana,2004,25338,765.67,1.17,764.5
Ascension Parish,5.6,Louisiana,2004,86352,302.88,11.35,291.53
Assumption Parish,7.8,Louisiana,2004,23319,364.55,25.87,338.68
Avoyelles Parish,6.7,Louisiana,2004,41271,865.67,33.24,832.44
Beauregard Parish,5.9,Louisiana,2004,33614,1165.99,5.9,1160.09
Bienville Parish,7.2,Louisiana,2004,15017,821.77,11.13,810.64
Bossier Parish,5.1,Louisiana,2004,105435,866.93,27.68,839.25
Caddo Parish,5.7,Louisiana,2004,249157,936.9,54.91,881.99
Calcasieu Parish,5,Louisiana,2004,185593,1094.34,23.22,1071.12
Caldwell Parish,7.4,Louisiana,2004,10382,540.72,11.3,529.42
Cameron Parish,4.5,Louisiana,2004,9851,1931.6,618.63,1312.96
Catahoula Parish,7,Louisiana,2004,10448,739.43,35.78,703.65
Claiborne Parish,5.9,Louisiana,2004,16855,767.55,12.9,754.65
Concordia Parish,9,Louisiana,2004,19972,748.68,52.77,695.91
De Soto Parish,6.2,Louisiana,2004,25958,894.49,17.29,877.2
East Baton Rouge Parish,5.2,Louisiana,2004,414162,470.54,15.11,455.43
East Carroll Parish,11.5,Louisiana,2004,8588,442.45,21.01,421.44
East Feliciana Parish,6.8,Louisiana,2004,20266,455.69,2.29,453.4
Evangeline Parish,6.1,Louisiana,2004,34399,679.61,15.34,664.27
Franklin Parish,7.6,Louisiana,2004,20895,635.43,11.82,623.61
Grant Parish,6,Louisiana,2004,19878,664.56,19.45,645.11
Iberia Parish,5.8,Louisiana,2004,72590,1030.86,455.73,575.13
Iberville Parish,7.7,Louisiana,2004,32717,652.84,34.2,618.64
Jackson Parish,5.8,Louisiana,2004,15650,580.34,10.59,569.75
Jefferson Davis Parish,4.6,Louisiana,2004,31076,642.41,335.89,306.52
Jefferson Parish,4.9,Louisiana,2004,456602,658.58,6.26,652.31
La Salle Parish,5.5,Louisiana,2004,14366,270.29,0.46,269.83
Lafayette Parish,4.1,Louisiana,2004,199338,1472.19,387.51,1084.68
Lafourche Parish,4.7,Louisiana,2004,92580,662.36,38.54,623.83
Lincoln Parish,6,Louisiana,2004,44272,472.27,0.89,471.38
Livingston Parish,5.8,Louisiana,2004,106048,702.84,54.82,648.02
Madison Parish,9.1,Louisiana,2004,12806,650.53,26.45,624.09
Morehouse Parish,8.9,Louisiana,2004,29891,805.2,10.95,794.25
Natchitoches Parish,5.8,Louisiana,2004,38950,1299.3,43.85,1255.45
Orleans Parish,6.1,Louisiana,2004,493765,350.21,169.66,180.56
Ouachita Parish,5.2,Louisiana,2004,149293,632.7,22.17,610.53
Plaquemines Parish,5.6,Louisiana,2004,29390,2428.54,1583.98,844.56
Pointe Coupee Parish,7,Louisiana,2004,22332,590.68,33.34,557.34
Rapides Parish,5,Louisiana,2004,127095,1361.96,39.42,1322.54
Red River Parish,9.3,Louisiana,2004,9433,402.08,12.79,389.29
Richland Parish,7.3,Louisiana,2004,20487,564.51,6.05,558.45
Sabine Parish,5.7,Louisiana,2004,23539,1011.51,146.25,865.27
Saint Bernard Parish,5.4,Louisiana,2004,70547,1793.75,1328.71,465.04
Saint Charles Parish,5.1,Louisiana,2004,49939,410.16,126.52,283.64
Saint Helena Parish,6.1,Louisiana,2004,10548,409.46,1.09,408.36
Saint James Parish,8.7,Louisiana,2004,21229,257.79,11.66,246.13
Saint John the Baptist Parish,6.6,Louisiana,2004,44822,347.84,128.94,218.9
Saint Landry Parish,6,Louisiana,2004,84487,938.83,10.18,928.65
Saint Martin Parish,5.1,Louisiana,2004,49754,816.46,76.6,739.85
Saint Mary Parish,8.2,Louisiana,2004,53288,1118.83,506.04,612.79
Saint Tammany Parish,4.5,Louisiana,2004,211405,1124.08,269.93,854.15
Tangipahoa Parish,6.1,Louisiana,2004,105335,823.12,32.88,790.24
Tensas Parish,8,Louisiana,2004,5785,641.2,38.72,602.48
Terrebonne Parish,4.8,Louisiana,2004,106783,2079.9,824.97,1254.93
Union Parish,6.4,Louisiana,2004,22676,905.28,27.68,877.6
Vermilion Parish,5.4,Louisiana,2004,55113,1538.31,364.53,1173.78
Vernon Parish,4.6,Louisiana,2004,51402,1341.51,13.1,1328.41
Washington Parish,7.1,Louisiana,2004,44521,675.97,6.4,669.57
Webster Parish,6.2,Louisiana,2004,41145,615.07,19.85,595.22
West Baton Rouge Parish,6.1,Louisiana,2004,22049,203.62,12.42,191.2
West Carroll Parish,10.5,Louisiana,2004,12009,360.32,0.92,359.4
West Feliciana Parish,6,Louisiana,2004,15300,426.01,20.01,406
Winn Parish,6,Louisiana,2004,15908,956.91,6.43,950.49
Androscoggin County,4.5,Maine,2004,106867,497.23,26.95,470.27
Aroostook County,6.1,Maine,2004,72959,6828.79,157.25,6671.54
Cumberland County,3.4,Maine,2004,274920,1216.89,381.38,835.51
Franklin County,6.1,Maine,2004,30096,1744.31,46.5,1697.81
Hancock County,5.4,Maine,2004,53613,2351.03,763.33,1587.7
Kennebec County,4.6,Maine,2004,120303,951.18,83.6,867.58
Knox County,3.7,Maine,2004,40514,1142.1,776.43,365.67
Lincoln County,4.3,Maine,2004,34827,699.81,243.82,455.99
Oxford County,5.5,Maine,2004,56763,2175.26,97.26,2078
Penobscot County,5.2,Maine,2004,148814,3556.14,160.41,3395.73
Piscataquis County,6.7,Maine,2004,17493,4377.36,411.14,3966.22
Sagadahoc County,3.8,Maine,2004,36100,370.19,116.29,253.9
Somerset County,7,Maine,2004,51328,4095.37,168.87,3926.5
Waldo County,4.8,Maine,2004,38209,852.74,123.01,729.73
Washington County,6.6,Maine,2004,33474,3254.91,686.44,2568.48
York County,4.1,Maine,2004,197408,1271.34,280.43,990.92
Allegany County,5.4,Maryland,2004,74408,429.82,4.4,425.42
Anne Arundel County,3.6,Maryland,2004,513259,587.9,171.96,415.94
Baltimore City,6.9,Maryland,2004,624222,92.08,11.27,80.8
Baltimore County,4.3,Maryland,2004,784371,682.03,83.44,598.59
Calvert County,3.4,Maryland,2004,84928,345.09,129.91,215.17
Caroline County,4.3,Maryland,2004,30653,326.06,5.92,320.14
Carroll County,3.2,Maryland,2004,163915,452.4,3.27,449.13
Cecil County,3.8,Maryland,2004,94809,417.88,69.75,348.13
Charles County,3.3,Maryland,2004,135601,643.22,182.22,461
Dorchester County,5,Maryland,2004,31086,982.92,425.38,557.54
Frederick County,3.1,Maryland,2004,217776,667.34,4.46,662.88
Garrett County,4.3,Maryland,2004,30147,655.9,7.94,647.96
Harford County,3.8,Maryland,2004,234849,526.72,86.37,440.35
Howard County,3.1,Maryland,2004,265919,253.55,1.51,252.04
Kent County,3.9,Maryland,2004,19513,414.31,134.87,279.43
Montgomery County,3.1,Maryland,2004,914991,507.14,11.63,495.52
Prince George's County,4.4,Maryland,2004,845950,498.45,13.01,485.43
Queen Anne's County,3.5,Maryland,2004,44411,509.79,137.58,372.21
Saint Mary's County,3.3,Maryland,2004,94900,764.5,403.25,361.25
