county,nov_rate,state,year,2012_pop_est,total area sqmi,water area,land area,per_pov,med_income
Shelby County,7.7,Indiana,2012,44345,413.11,0.47,412.64,12.7,49965
Spencer County,7.3,Indiana,2012,20866,401.23,2.55,398.69,10.0,55824
Starke County,10,Indiana,2012,23195,312.31,3,309.31,16.5,41700
Steuben County,6.8,Indiana,2012,34164,322.48,13.76,308.72,13.2,46412
Sullivan County,9.3,Indiana,2012,21216,454.04,6.85,447.2,18.2,41223
Switzerland County,7.5,Indiana,2012,10395,223.52,2.34,221.18,20.2,42497
Tippecanoe County,6.9,Indiana,2012,178430,503.07,3.28,499.79,20.4,43529
Tipton County,7.2,Indiana,2012,15728,260.41,0.02,260.39,10.0,53917
Union County,7.5,Indiana,2012,7334,165.25,3.7,161.55,13.5,44796
Vanderburgh County,7.3,Indiana,2012,181031,235.74,1.16,234.57,15.3,41784
Vermillion County,11,Indiana,2012,15941,259.94,3.05,256.89,14.6,42709
Vigo County,9.5,Indiana,2012,108528,410.47,7.17,403.29,20.3,40091
Wabash County,8,Indiana,2012,32437,421.07,7.9,413.17,12.5,45849
Warren County,7.9,Indiana,2012,8391,366.6,1.72,364.88,9.0,53781
Warrick County,6.5,Indiana,2012,60458,390.86,6.79,384.07,9.7,60551
Washington County,8.8,Indiana,2012,27911,516.53,2.12,514.42,16.8,41598
Wayne County,9.2,Indiana,2012,68304,404.34,0.78,403.57,22.2,35220
Wells County,6.7,Indiana,2012,27713,370.41,0.45,369.96,11.2,49264
White County,7.7,Indiana,2012,24390,508.8,3.56,505.24,12.1,48274
Whitley County,7.4,Indiana,2012,33283,337.9,2.38,335.52,9.6,52081
Adair County,3.7,Iowa,2012,7493,570.31,1,569.3,11.1,46917
Adams County,3.2,Iowa,2012,3905,425.41,1.87,423.54,12.9,42338
Allamakee County,5.4,Iowa,2012,14134,658.71,19.14,639.56,11.7,45923
Appanoose County,6.3,Iowa,2012,12702,516.35,20.1,496.25,15.8,38685
Audubon County,3.8,Iowa,2012,5883,443.58,0.44,443.13,13.0,47823
Benton County,4.6,Iowa,2012,25855,718.45,2.06,716.39,9.0,59333
Black Hawk County,5,Iowa,2012,131761,571.91,4.8,567.11,13.9,48625
Boone County,3.8,Iowa,2012,26228,573.51,2.05,571.46,9.7,51399
Bremer County,3.2,Iowa,2012,24477,439.6,1.7,437.9,7.5,60034
Buchanan County,4.3,Iowa,2012,20964,573.35,2.09,571.26,11.0,54382
Buena Vista County,3.5,Iowa,2012,20543,580.07,5.28,574.78,13.4,45582
Butler County,4.1,Iowa,2012,14991,581.56,1.18,580.38,8.9,51605
Calhoun County,5.2,Iowa,2012,9924,572.29,2.14,570.15,13.0,47044
Carroll County,3.2,Iowa,2012,20685,570.24,0.92,569.31,9.3,50372
Cass County,4.5,Iowa,2012,13711,565.01,0.68,564.33,13.5,44906
Cedar County,4.1,Iowa,2012,18402,581.96,2.44,579.52,8.5,57084
Cerro Gordo County,5,Iowa,2012,43723,575.12,6.8,568.33,15.0,43822
Cherokee County,3.7,Iowa,2012,11959,577.34,0.18,577.15,10.4,48794
Chickasaw County,4.3,Iowa,2012,12284,505.48,0.84,504.64,10.5,48963
Clarke County,5.7,Iowa,2012,9351,431.72,0.6,431.12,12.8,44043
Clay County,4.3,Iowa,2012,16576,572.51,3.63,568.89,10.4,48190
Clayton County,4.9,Iowa,2012,17926,792.81,14,778.81,11.7,44236
Clinton County,5.4,Iowa,2012,48716,710.19,15.21,694.98,15.5,46217
Crawford County,3.6,Iowa,2012,17325,714.99,0.63,714.36,16.8,48775
Dallas County,3.4,Iowa,2012,72271,591.73,5.26,586.47,6.2,73052
Davis County,5.6,Iowa,2012,8697,504.89,1.65,503.24,20.1,42459
Decatur County,4,Iowa,2012,8255,533.32,1.52,531.8,23.7,37561
Delaware County,3.8,Iowa,2012,17578,579.05,1.19,577.85,10.0,54718
Des Moines County,5.7,Iowa,2012,40265,429.8,13.65,416.15,17.9,42082
Dickinson County,5.1,Iowa,2012,16986,403.69,22.63,381.06,8.3,51885
Dubuque County,3.8,Iowa,2012,95211,616.56,8.41,608.16,12.1,50137
Emmet County,3.9,Iowa,2012,9964,402.38,6.63,395.74,12.8,44060
Fayette County,4.6,Iowa,2012,20803,731.45,0.52,730.92,14.5,43039
Floyd County,5.3,Iowa,2012,16107,501.31,0.74,500.56,11.5,43478
Franklin County,4,Iowa,2012,10523,583.01,0.57,582.44,11.2,51139
Fremont County,4.4,Iowa,2012,7143,516.76,5.68,511.08,11.9,50826
Greene County,4.7,Iowa,2012,9171,571.13,2.72,568.41,12.9,46295
Grundy County,4.1,Iowa,2012,12440,502.55,0.03,502.51,6.4,57011
Guthrie County,5.1,Iowa,2012,10777,593.06,2.46,590.6,10.6,49400
Hamilton County,5.4,Iowa,2012,15327,577.44,0.76,576.68,11.3,51773
Hancock County,3.8,Iowa,2012,11165,573.14,2.03,571.11,9.1,49006
Hardin County,5.3,Iowa,2012,17353,569.93,0.68,569.26,12.5,48445
Harrison County,4.4,Iowa,2012,14522,700.93,4.2,696.72,12.2,50963
Henry County,5,Iowa,2012,20044,436.68,2.24,434.44,15.8,45647
Howard County,3.4,Iowa,2012,9576,473.76,0.36,473.4,11.6,48169
Humboldt County,3.7,Iowa,2012,9720,435.73,1.31,434.41,11.5,51637
Ida County,3.6,Iowa,2012,7091,432.23,0.52,431.71,11.0,51014
Iowa County,3.8,Iowa,2012,16218,587.35,0.9,586.45,8.5,55723
Jackson County,4.4,Iowa,2012,19693,649.75,13.66,636.09,15.6,45885
Jasper County,4.9,Iowa,2012,36566,732.93,2.94,729.99,10.1,51723
Jefferson County,5,Iowa,2012,17201,436.72,1.38,435.34,18.0,40921
Johnson County,3.1,Iowa,2012,136865,623.35,8.87,614.48,16.1,52934
Jones County,4.6,Iowa,2012,20595,576.7,1.39,575.31,11.8,52442
Keokuk County,4.4,Iowa,2012,10397,579.94,0.75,579.19,13.8,44648
Kossuth County,3.2,Iowa,2012,15373,974.39,1.38,973.01,9.6,51137
Lee County,6.7,Iowa,2012,35610,538.77,21.37,517.39,15.7,41291
Linn County,4.8,Iowa,2012,215255,724.55,7.1,717.44,9.8,57663
Louisa County,4.9,Iowa,2012,11340,417.64,15.73,401.92,12.1,48191
Lucas County,4.3,Iowa,2012,8754,434.17,3.63,430.55,15.3,45158
Lyon County,2.6,Iowa,2012,11772,587.63,0.13,587.5,8.8,54695
Madison County,4.7,Iowa,2012,15639,562.3,1.16,561.14,8.3,59417
Mahaska County,4.2,Iowa,2012,22419,573.4,2.53,570.87,14.2,48705
Marion County,4,Iowa,2012,33315,570.53,16.32,554.21,10.1,55505
Marshall County,5.7,Iowa,2012,41053,573.02,0.7,572.32,13.2,51348
Mills County,4.2,Iowa,2012,14853,439.67,3.13,436.53,10.1,56968
Mitchell County,4,Iowa,2012,10746,469.4,0.47,468.92,11.1,50848
Monona County,5.9,Iowa,2012,9138,698.85,5.73,693.12,14.0,44254
Monroe County,4.8,Iowa,2012,8066,434.11,0.7,433.41,13.6,45265
Montgomery County,4.9,Iowa,2012,10567,424.81,0.93,423.88,13.1,46142
Muscatine County,5.2,Iowa,2012,42884,449.07,10.4,438.67,13.8,53219
O'Brien County,3.2,Iowa,2012,14161,573.25,0.17,573.08,9.2,49861
Osceola County,3.4,Iowa,2012,6180,399.48,0.71,398.77,9.5,46270
Page County,5.5,Iowa,2012,15750,535.35,0.52,534.82,15.7,45205
Palo Alto County,3.6,Iowa,2012,9281,569.4,5.57,563.83,11.8,47639
Plymouth County,4,Iowa,2012,24888,863.96,0.39,863.56,7.8,58885
Pocahontas County,3.5,Iowa,2012,7161,579.13,1.42,577.7,12.5,45780
Polk County,4.7,Iowa,2012,443821,591.9,22.55,569.35,13.4,57942
Pottawattamie County,4.5,Iowa,2012,92887,959.94,5.68,954.26,12.4,49911
Poweshiek County,4.3,Iowa,2012,18766,586.17,1.14,585.03,11.9,50883
Ringgold County,3.9,Iowa,2012,5082,538.92,1.26,537.67,16.4,40049
Sac County,3.7,Iowa,2012,10177,578.38,2.56,575.82,10.6,46997
Scott County,5.2,Iowa,2012,168840,468.17,10.24,457.93,12.2,53315
Shelby County,3.3,Iowa,2012,12082,591.37,0.54,590.83,9.7,53135
Sioux County,2.8,Iowa,2012,34339,768.58,0.7,767.88,7.8,61176
Story County,2.9,Iowa,2012,91799,573.7,0.84,572.86,19.5,51291
Tama County,5.2,Iowa,2012,17536,722.37,1.07,721.3,13.8,47799
Taylor County,3.7,Iowa,2012,6237,534.83,0.87,533.95,14.1,44939
Union County,4.2,Iowa,2012,12599,425.95,1.57,424.39,14.8,42430
Van Buren County,5.8,Iowa,2012,7456,490.55,5.73,484.82,16.1,42183
Wapello County,6.4,Iowa,2012,35357,435.98,4.17,431.81,16.8,41547
Warren County,4.3,Iowa,2012,46991,573.21,1.56,571.64,9.1,63310
Washington County,3.4,Iowa,2012,21928,570.77,2.06,568.71,9.7,53888
Wayne County,5.4,Iowa,2012,6364,527.08,1.48,525.6,17.6,39060
Webster County,5.4,Iowa,2012,37252,718.05,2.82,715.23,15.3,42444
Winnebago County,4.4,Iowa,2012,10634,401.57,1.1,400.47,10.9,49213
Winneshiek County,3.5,Iowa,2012,21042,689.88,0.27,689.61,10.0,49889
Woodbury County,4.7,Iowa,2012,102330,877.39,4.79,872.59,16.5,43163
Worth County,5,Iowa,2012,7525,401.71,1.71,400,10.2,48382
Wright County,4.5,Iowa,2012,13019,582.54,1.82,580.72,11.8,47677
Allen County,6.2,Kansas,2012,13336,505.18,2.18,503.01,19.0,37952
Anderson County,5.6,Kansas,2012,7912,584.29,1.38,582.92,15.3,42424
Atchison County,7.1,Kansas,2012,16793,435.04,2.7,432.34,17.2,43253
Barber County,3.6,Kansas,2012,4866,1136.21,2.1,1134.11,11.1,47811
Barton County,3.9,Kansas,2012,27515,900.46,6.46,894,15.2,43371
Bourbon County,6.3,Kansas,2012,14844,638.82,1.73,637.09,20.9,37057
Brown County,4.9,Kansas,2012,9879,572.2,1.52,570.67,17.3,42256
Butler County,5.5,Kansas,2012,65781,1446.42,18.57,1427.85,9.4,58031
Chase County,4.5,Kansas,2012,2752,778.01,2.12,775.89,12.7,42940
Chautauqua County,5.6,Kansas,2012,3565,644.83,3.14,641.69,17.9,35714
Cherokee County,6.5,Kansas,2012,21201,590.96,3.85,587.12,18.6,39938
Cheyenne County,3.5,Kansas,2012,2677,1020.84,0.95,1019.88,11.3,40810
Clark County,2.8,Kansas,2012,2179,977.2,2.52,974.68,12.9,43310
Clay County,4.9,Kansas,2012,8508,655.44,11.6,643.84,11.2,47736
Cloud County,4.3,Kansas,2012,9407,718.47,2.84,715.63,14.7,40184
Coffey County,5.6,Kansas,2012,8507,654.57,24.82,629.75,10.4,50826
Comanche County,3.5,Kansas,2012,1910,789.7,1.39,788.31,10.3,42851
Cowley County,5.8,Kansas,2012,36262,1132.6,6.37,1126.24,18.8,37436
Crawford County,5.6,Kansas,2012,39369,595.05,2.14,592.91,22.3,35365
Decatur County,3.9,Kansas,2012,2877,894.18,0.63,893.55,13.2,40168
Dickinson County,5.2,Kansas,2012,19731,852.12,4.2,847.92,10.8,47962
Doniphan County,5.2,Kansas,2012,7869,397.07,4.89,392.18,13.4,44524
Douglas County,4.5,Kansas,2012,113304,474.47,17.6,456.87,19.5,48813
Edwards County,3.5,Kansas,2012,2980,622.1,0.08,622.02,12.4,44028
Elk County,5.7,Kansas,2012,2678,650.36,3.07,647.29,18.8,34857
Ellis County,3.1,Kansas,2012,29125,900.47,0.5,899.97,13.0,45969
Ellsworth County,3.4,Kansas,2012,6471,723.44,7.54,715.91,11.7,48874
Finney County,4.5,Kansas,2012,37114,1302.62,0.84,1301.77,14.4,46496
Ford County,3.5,Kansas,2012,34729,1099.29,0.79,1098.5,16.3,46668
Franklin County,6,Kansas,2012,25859,576.65,2.8,573.85,13.6,48895
Geary County,8.1,Kansas,2012,37947,404.39,19.7,384.69,13.0,46008
Gove County,2.8,Kansas,2012,2722,1071.47,0.09,1071.38,10.9,47114
Graham County,3,Kansas,2012,2587,898.67,0.38,898.29,12.0,45650
Grant County,3.5,Kansas,2012,7824,575.04,0.18,574.86,11.8,53369
Gray County,2.8,Kansas,2012,5983,869.34,0.44,868.9,8.8,55780
Greeley County,2.5,Kansas,2012,1270,778.01,0,778.01,9.9,50619
Greenwood County,5.3,Kansas,2012,6440,1152.59,12.92,1139.67,15.5,41382
Hamilton County,2.7,Kansas,2012,2635,997.62,1.13,996.49,12.7,43380
Harper County,3.8,Kansas,2012,5859,802.95,1.51,801.44,13.6,41399
Harvey County,4.7,Kansas,2012,34796,540.5,1.17,539.33,12.5,49624
Haskell County,3.1,Kansas,2012,4196,577.73,0.36,577.37,11.1,53430
Hodgeman County,3.2,Kansas,2012,1964,860.24,0.32,859.92,9.3,51276
Jackson County,5.2,Kansas,2012,13417,657.86,2.27,655.59,9.8,50943
Jefferson County,5.2,Kansas,2012,18921,556.94,20.83,536.11,10.5,55057
Jewell County,3.7,Kansas,2012,3040,914.47,5.29,909.18,13.2,34195
Johnson County,4.1,Kansas,2012,559515,480.15,3.37,476.78,6.8,73712
Kearny County,3.7,Kansas,2012,3983,871.5,0.44,871.06,11.9,50626
Kingman County,5.4,Kansas,2012,7831,866.7,3.35,863.35,12.3,49431
Kiowa County,3,Kansas,2012,2505,722.62,0.23,722.39,13.6,42543
Labette County,7,Kansas,2012,21206,653.3,4.48,648.82,17.4,36715
Lane County,4,Kansas,2012,1701,717.43,0.21,717.22,9.5,51366
Leavenworth County,5.6,Kansas,2012,77713,468.33,5.06,463.27,10.5,59662
Lincoln County,4.7,Kansas,2012,3170,719.94,1.07,718.87,13.6,42847
Linn County,8.4,Kansas,2012,9482,606.29,7.62,598.67,14.6,43726
Logan County,3,Kansas,2012,2792,1073.09,0.11,1072.99,10.2,45933
Lyon County,5.3,Kansas,2012,33534,855.14,4.27,850.87,20.2,39195
Marion County,4.6,Kansas,2012,12379,953.54,10.43,943.11,12.3,45243
Marshall County,3.7,Kansas,2012,10065,904.36,1.83,902.53,11.5,44693
McPherson County,3.7,Kansas,2012,29341,901.24,1.52,899.71,8.6,53969
Meade County,3.1,Kansas,2012,4397,979.66,1.24,978.42,10.8,50863
Miami County,5.5,Kansas,2012,32622,590.15,13.43,576.72,9.7,64629
Mitchell County,2.8,Kansas,2012,6334,718.62,18.8,699.82,9.6,46204
Montgomery County,6.3,Kansas,2012,34447,651.4,6.19,645.2,20.5,39553
Morris County,5.1,Kansas,2012,5852,702.84,5.46,697.38,11.5,42765
Morton County,3.3,Kansas,2012,3133,729.94,0.02,729.92,12.0,52950
Nemaha County,3.3,Kansas,2012,10117,719.4,1.41,717.99,9.0,50077
Neosho County,7.8,Kansas,2012,16462,578.02,6.27,571.75,17.4,40541
Ness County,3.1,Kansas,2012,3083,1075,0.26,1074.75,10.0,49541
Norton County,2.8,Kansas,2012,5597,881.39,3.55,877.84,12.7,42202
Osage County,6.6,Kansas,2012,16170,719.23,15.72,703.5,11.0,46706
Osborne County,3.9,Kansas,2012,3818,894.28,1.89,892.39,14.9,39468
Ottawa County,4.7,Kansas,2012,6062,721.9,0.79,721.11,9.8,48266
Pawnee County,3.5,Kansas,2012,6894,754.56,0.38,754.17,14.4,43901
Phillips County,4,Kansas,2012,5516,894.81,8.58,886.23,12.7,43519
Pottawatomie County,4.2,Kansas,2012,22335,862.07,17.83,844.24,9.9,56891
Pratt County,4,Kansas,2012,9772,735.76,0.76,734.99,12.4,47220
Rawlins County,2.3,Kansas,2012,2540,1069.72,0.11,1069.62,13.8,44563
Reno County,5.1,Kansas,2012,64245,1271.25,16.84,1254.42,13.4,43094
Republic County,3.4,Kansas,2012,4847,720.31,3.93,716.38,12.2,39085
Rice County,3.9,Kansas,2012,10000,728.3,1.72,726.58,14.0,44833
Riley County,3.9,Kansas,2012,76273,622.11,12.55,609.55,21.2,43574
Rooks County,4.1,Kansas,2012,5212,895.36,7.02,888.34,13.3,41363
Rush County,4.3,Kansas,2012,3208,718.42,0.21,718.21,13.8,40415
Russell County,3.7,Kansas,2012,6978,898.98,14.3,884.68,14.2,36614
Saline County,4.9,Kansas,2012,55838,721.28,1.67,719.61,15.3,45225
Scott County,3,Kansas,2012,4870,717.64,0.12,717.52,8.9,51245
Sedgwick County,6,Kansas,2012,503945,1009.41,10.03,999.38,16.4,47649
Seward County,3.9,Kansas,2012,23403,640.51,0.99,639.52,16.3,47801
Shawnee County,5.9,Kansas,2012,178980,556.32,6.5,549.82,16.4,48122
Sheridan County,2.2,Kansas,2012,2531,896.61,0.25,896.36,10.2,50601
Sherman County,3.8,Kansas,2012,6106,1056.01,0.21,1055.8,15.8,39160
Smith County,3.4,Kansas,2012,3751,896.53,1.1,895.43,12.9,40075
Stafford County,4.1,Kansas,2012,4343,794.72,2.67,792.05,13.3,43240
Stanton County,3.2,Kansas,2012,2163,680.06,0.06,680,11.5,53087
Stevens County,3.1,Kansas,2012,5748,727.71,0.18,727.53,10.2,53045
Sumner County,5.5,Kansas,2012,23701,1184.78,2.98,1181.81,13.3,49535
Thomas County,3.1,Kansas,2012,7938,1074.9,0.11,1074.78,12.0,48982
Trego County,3.7,Kansas,2012,2969,899.02,10.73,888.29,11.1,46693
Wabaunsee County,4.8,Kansas,2012,7007,799.8,2.41,797.38,9.3,54375
Wallace County,3.7,Kansas,2012,1528,914.05,0.05,913.99,10.8,49091
Washington County,3.5,Kansas,2012,5726,898.84,0.38,898.46,10.8,43889
Wichita County,4.8,Kansas,2012,2230,718.54,0.02,718.52,11.6,48734
Wilson County,8.8,Kansas,2012,9126,574.97,1.17,573.81,16.7,36879
Woodson County,5.6,Kansas,2012,3267,505.45,4.85,500.61,18.9,32681
Wyandotte County,7.5,Kansas,2012,159360,155.69,4.3,151.39,23.7,37780
Adair County,8.8,Kentucky,2012,18931,412.23,5.39,406.84,27.1,31032
Allen County,7.3,Kentucky,2012,20232,352.04,5.92,346.12,20.4,37770
Anderson County,6,Kentucky,2012,21660,204.28,1.61,202.67,11.0,54704
Ballard County,8.4,Kentucky,2012,8311,273.6,22.44,251.16,16.6,41947
Barren County,7.1,Kentucky,2012,42645,499.93,8.96,490.97,20.4,37211
Bath County,9.4,Kentucky,2012,11802,283.94,4.48,279.46,25.5,31964
Bell County,11.2,Kentucky,2012,28247,361.35,0.58,360.77,32.9,25771
Boone County,6.4,Kentucky,2012,122847,256.96,10.7,246.26,8.7,66085
Bourbon County,6.5,Kentucky,2012,19985,291.66,0.23,291.43,18.3,39002
Boyd County,8.6,Kentucky,2012,49256,161.82,1.65,160.17,17.8,40155
Boyle County,8.3,Kentucky,2012,28993,182.99,1.09,181.9,17.8,42058
Bracken County,8.2,Kentucky,2012,8468,208.89,5.67,203.22,17.8,41217
Breathitt County,14.3,Kentucky,2012,13657,495.29,0.09,495.19,33.6,25831
Breckinridge County,8.6,Kentucky,2012,20095,585.53,13.12,572.41,19.7,40530
Bullitt County,7.1,Kentucky,2012,75947,300.2,1.12,299.08,10.8,56377
Butler County,8,Kentucky,2012,12794,431.52,3.44,428.08,21.6,37603
Caldwell County,7.5,Kentucky,2012,12938,348.18,1.2,346.98,20.9,36613
Calloway County,6.8,Kentucky,2012,38057,410.79,24.53,386.25,21.0,37478
Campbell County,6.2,Kentucky,2012,90780,159.43,7.87,151.55,14.5,54627
Carlisle County,6.9,Kentucky,2012,5042,199.02,6.54,192.49,16.2,41990
Carroll County,9.2,Kentucky,2012,10869,137.27,7.18,130.09,21.3,40473
Carter County,10.9,Kentucky,2012,27473,412.15,1.55,410.6,24.0,35721
Casey County,7.8,Kentucky,2012,16081,445.73,0.12,445.61,27.9,28734
Christian County,8.4,Kentucky,2012,75638,724.01,2.69,721.32,22.0,37539
Clark County,7.2,Kentucky,2012,35752,255.16,0.85,254.31,14.8,45116
Clay County,13,Kentucky,2012,21565,471.08,0.07,471.01,42.0,22834
Clinton County,9.8,Kentucky,2012,10243,205.54,8.09,197.46,27.5,26899
Crittenden County,6.6,Kentucky,2012,9259,370.95,8.81,362.14,23.2,35250
Cumberland County,9.6,Kentucky,2012,6861,310.85,5.02,305.82,27.9,27049
Daviess County,6.2,Kentucky,2012,97886,476.27,13.88,462.39,16.7,44502
Edmonson County,9,Kentucky,2012,12141,308.01,5.39,302.62,18.8,36039
Elliott County,13.3,Kentucky,2012,7761,235.2,1.24,233.96,33.1,28893
Estill County,9.2,Kentucky,2012,14488,255.7,1.76,253.93,27.8,29895
Fayette County,5.4,Kentucky,2012,305201,285.52,1,284.52,17.7,46452
Fleming County,8.2,Kentucky,2012,14547,351.47,0.62,350.84,20.5,34231
Floyd County,12.2,Kentucky,2012,39232,395.46,1.16,394.29,33.1,31061
Franklin County,5.9,Kentucky,2012,49514,212.11,1.65,210.46,16.2,46946
Fulton County,10.1,Kentucky,2012,6536,230.55,21.6,208.95,30.6,28754
Gallatin County,8.6,Kentucky,2012,8491,104.67,5.87,98.81,17.3,43469
Garrard County,7.6,Kentucky,2012,16953,233.88,2.67,231.21,18.5,42620
Grant County,8.1,Kentucky,2012,24489,260.79,0.86,259.93,17.1,46103
Graves County,7.8,Kentucky,2012,37535,556.46,0.87,555.59,18.4,39280
Grayson County,9.2,Kentucky,2012,25864,510.85,7.17,503.68,21.5,35126
Green County,7.5,Kentucky,2012,11317,288.78,0.12,288.66,21.9,32246
Greenup County,9,Kentucky,2012,36647,354.51,8.41,346.11,17.8,43869
Hancock County,6.6,Kentucky,2012,8666,198.92,10.12,188.8,14.3,50095
Hardin County,7.3,Kentucky,2012,107173,629.86,1.88,627.98,15.1,48852
Harlan County,14.8,Kentucky,2012,28715,467.97,0.78,467.2,29.5,27137
Harrison County,7,Kentucky,2012,18602,309.88,0.2,309.68,18.9,38249
Hart County,7.8,Kentucky,2012,18409,417.91,1.98,415.93,25.2,31387
Henderson County,6.9,Kentucky,2012,46445,467.24,27.11,440.12,17.6,41745
Henry County,6.4,Kentucky,2012,15325,291.11,1.79,289.32,16.7,45119
Hickman County,7.1,Kentucky,2012,4751,252.94,8.49,244.44,20.3,39376
Hopkins County,6.9,Kentucky,2012,46707,554.23,3.67,550.56,18.3,40076
Jackson County,10.5,Kentucky,2012,13315,346.57,0.24,346.33,32.7,27456
Jefferson County,7,Kentucky,2012,751342,398.58,13.49,385.09,18.2,45913
Jessamine County,6,Kentucky,2012,49550,174.45,1.32,173.13,15.7,47872
Johnson County,10,Kentucky,2012,23441,263.94,2.4,261.54,25.4,35195
Kenton County,6.7,Kentucky,2012,161297,164.38,2.42,161.97,14.7,53500
Knott County,14.5,Kentucky,2012,16124,353.01,0.82,352.19,30.5,29198
Knox County,12.4,Kentucky,2012,31741,387.71,0.04,387.66,32.5,27545
Larue County,7.6,Kentucky,2012,14093,263.72,0.53,263.2,18.9,40232
Laurel County,9.6,Kentucky,2012,59603,443.74,8.07,435.67,20.7,35061
Lawrence County,9.7,Kentucky,2012,15846,420.12,1.35,418.78,25.3,32114
Lee County,11.5,Kentucky,2012,7551,211.22,1.36,209.86,41.0,25020
Leslie County,14,Kentucky,2012,11170,404.36,0.33,404.03,27.1,27517
Letcher County,14.6,Kentucky,2012,24039,339.12,0.07,339.04,25.9,32527
Lewis County,10.6,Kentucky,2012,13754,495.7,11.21,484.49,30.9,28759
Lincoln County,9.1,Kentucky,2012,24431,336.47,0.21,336.26,25.2,33640
Livingston County,8.7,Kentucky,2012,9448,342.2,26.12,316.08,16.3,39724
Logan County,6.7,Kentucky,2012,26682,557.1,1.41,555.68,19.1,38962
Lyon County,8.8,Kentucky,2012,8440,256.42,40.71,215.7,17.5,40110
Madison County,5.9,Kentucky,2012,85517,443.11,2.42,440.68,22.3,40798
Magoffin County,16.2,Kentucky,2012,13050,309.44,0.01,309.44,31.2,28069
Marion County,8.4,Kentucky,2012,19974,346.86,0.47,346.39,20.3,39028
Marshall County,7.6,Kentucky,2012,31289,340.32,35.43,304.89,13.7,43583
Martin County,9.4,Kentucky,2012,12788,230.81,0.11,230.7,38.9,28836
Mason County,8.8,Kentucky,2012,17458,246.6,5.49,241.11,21.9,36729
McCracken County,7.3,Kentucky,2012,65635,268.08,17.05,251.02,18.0,42853
McCreary County,12.3,Kentucky,2012,18058,430.64,2.94,427.7,41.6,23810
McLean County,7,Kentucky,2012,9526,256.17,1.88,254.3,17.0,39789
Meade County,8.6,Kentucky,2012,29301,324.22,15.71,308.51,16.2,48452
Menifee County,10.2,Kentucky,2012,6323,206.03,2.13,203.9,33.2,28459
Mercer County,7.3,Kentucky,2012,21373,253.11,2.2,250.92,17.6,41129
Metcalfe County,7.2,Kentucky,2012,9999,290.96,0.07,290.9,25.9,29499
Monroe County,6.8,Kentucky,2012,10844,332.11,1.3,330.81,27.9,28516
Montgomery County,7.9,Kentucky,2012,26894,198.8,0.21,198.59,23.5,38900
Morgan County,9.5,Kentucky,2012,13531,383.73,2.47,381.26,30.8,30678
Muhlenberg County,8.8,Kentucky,2012,31377,479.43,4.71,474.72,19.9,38388
Nelson County,7.2,Kentucky,2012,44376,424.07,1.45,422.63,17.1,46235
Nicholas County,7.8,Kentucky,2012,7027,196.85,0.24,196.61,19.8,36514
Ohio County,7.7,Kentucky,2012,24056,596.73,2.94,593.79,19.5,38273
Oldham County,5.3,Kentucky,2012,62104,196.54,7.36,189.19,6.7,77851
Owen County,5.8,Kentucky,2012,10754,354.16,2.02,352.14,19.8,40353
Owsley County,12.5,Kentucky,2012,4691,198.09,0,198.09,42.9,22148
Pendleton County,7.9,Kentucky,2012,14523,281.87,1.33,280.54,14.8,46663
Perry County,13,Kentucky,2012,28376,342.64,0.49,342.15,27.0,32323
Pike County,10.2,Kentucky,2012,64645,788.84,1.15,787.69,23.6,33736
Powell County,10,Kentucky,2012,12483,180.2,0.07,180.14,28.1,31826
Pulaski County,8.7,Kentucky,2012,63508,677.05,15.45,661.6,23.5,32339
Robertson County,9.3,Kentucky,2012,2220,100.11,0.04,100.07,23.8,36770
Rockcastle County,9,Kentucky,2012,17084,318.06,0.54,317.53,27.7,30310
Rowan County,7.7,Kentucky,2012,23873,286.25,5.43,280.82,28.2,35483
Russell County,9.8,Kentucky,2012,17566,282.82,29.29,253.53,28.0,28174
Scott County,5.7,Kentucky,2012,49066,285.3,0.57,284.72,10.9,63063
Shelby County,5.5,Kentucky,2012,43651,385.65,1.46,384.19,13.2,56021
Simpson County,7.4,Kentucky,2012,17592,236.19,0,236.19,18.0,41961
Spencer County,6.2,Kentucky,2012,17426,191.8,5.89,185.9,9.9,65038
Taylor County,8.4,Kentucky,2012,25077,277.05,7.22,269.83,22.1,34992
Todd County,7,Kentucky,2012,12639,376.97,0.62,376.35,21.1,37631
Trigg County,8.4,Kentucky,2012,14409,481.13,38.01,443.12,16.8,42419
Trimble County,7.9,Kentucky,2012,8830,156.23,7.38,148.85,17.8,43903
Union County,7.2,Kentucky,2012,15114,363.43,18.33,345.1,20.4,41801
Warren County,6.2,Kentucky,2012,117040,547.69,2.48,545.21,19.8,42514
Washington County,6.8,Kentucky,2012,11879,301.52,0.93,300.59,16.9,39432
Wayne County,11.8,Kentucky,2012,20789,484.2,24.8,459.4,26.9,28185
Webster County,6.5,Kentucky,2012,13476,335.68,0.93,334.75,15.5,41428
Whitley County,10.1,Kentucky,2012,35621,445.15,4.99,440.15,29.8,29089
Wolfe County,14,Kentucky,2012,7205,222.86,0.08,222.78,36.6,25321
Woodford County,4.9,Kentucky,2012,25072,191.98,1.3,190.68,10.5,58205
Acadia Parish,5.1,Louisiana,2012,61884,657.62,2.33,655.28,20.7,36923
Allen Parish,6.4,Louisiana,2012,25566,765.67,1.17,764.5,22.0,36082
Ascension Parish,4.9,Louisiana,2012,112235,302.88,11.35,291.53,12.1,65271
