County,State,Population 2010,,,
Knox County,Indiana,38122,,,
Kosciusko County,Indiana,77609,,,
LaGrange County,Indiana,37521,,,
Lake County,Indiana,493618,,,
LaPorte County,Indiana,111246,,,
Lawrence County,Indiana,46078,,,
Madison County,Indiana,130348,,,
Marion County,Indiana,918977,,,
Marshall County,Indiana,47024,,,
Martin County,Indiana,10260,,,
Miami County,Indiana,36486,,,
Monroe County,Indiana,141019,,,
Montgomery County,Indiana,38254,,,
Morgan County,Indiana,69356,,,
Newton County,Indiana,14044,,,
Noble County,Indiana,47582,,,
Ohio County,Indiana,6079,,,
Orange County,Indiana,19690,,,
Owen County,Indiana,21380,,,
Parke County,Indiana,17069,,,
Perry County,Indiana,19462,,,
Pike County,Indiana,12766,,,
Porter County,Indiana,165682,,,
Posey County,Indiana,25599,,,
Pulaski County,Indiana,13124,,,
Putnam County,Indiana,37750,,,
Randolph County,Indiana,25815,,,
Ripley County,Indiana,28583,,,
Rush County,Indiana,17095,,,
St. Joseph County,Indiana,266344,,,
Scott County,Indiana,23791,,,
Shelby County,Indiana,44471,,,
Spencer County,Indiana,20837,,,
Starke County,Indiana,23213,,,
Steuben County,Indiana,34124,,,
Sullivan County,Indiana,21188,,,
Switzerland County,Indiana,10424,,,
Tippecanoe County,Indiana,177513,,,
Tipton County,Indiana,15695,,,
Union County,Indiana,7362,,,
Vanderburgh County,Indiana,180858,,,
Vermillion County,Indiana,16040,,,
Vigo County,Indiana,108428,,,
Wabash County,Indiana,32361,,,
Warren County,Indiana,8342,,,
Warrick County,Indiana,60463,,,
Washington County,Indiana,27921,,,
Wayne County,Indiana,68346,,,
Wells County,Indiana,27652,,,
White County,Indiana,24426,,,
Whitley County,Indiana,33342,,,
Adair County,Iowa,7481,,,
Adams County,Iowa,3911,,,
Allamakee County,Iowa,14237,,,
Appanoose County,Iowa,12700,,,
Audubon County,Iowa,5910,,,
Benton County,Iowa,25827,,,
Black Hawk County,Iowa,131820,,,
Boone County,Iowa,26195,,,
Bremer County,Iowa,24479,,,
Buchanan County,Iowa,20942,,,
Buena Vista County,Iowa,20592,,,
Butler County,Iowa,14986,,,
Calhoun County,Iowa,9909,,,
Carroll County,Iowa,20631,,,
Cass County,Iowa,13723,,,
Cedar County,Iowa,18416,,,
Cerro Gordo County,Iowa,43788,,,
Cherokee County,Iowa,11946,,,
Chickasaw County,Iowa,12276,,,
Clarke County,Iowa,9370,,,
Clay County,Iowa,16599,,,
Clayton County,Iowa,17835,,,
