County,State,Population 2010,,,
Clinton County,Iowa,48717,,,
Crawford County,Iowa,17309,,,
Dallas County,Iowa,71967,,,
Davis County,Iowa,8689,,,
Decatur County,Iowa,8253,,,
Delaware County,Iowa,17574,,,
Des Moines County,Iowa,40340,,,
Dickinson County,Iowa,16972,,,
Dubuque County,Iowa,95097,,,
Emmet County,Iowa,10120,,,
Fayette County,Iowa,20793,,,
Floyd County,Iowa,16056,,,
Franklin County,Iowa,10554,,,
Fremont County,Iowa,7147,,,
Greene County,Iowa,9153,,,
Grundy County,Iowa,12448,,,
Guthrie County,Iowa,10777,,,
Hamilton County,Iowa,15344,,,
Hancock County,Iowa,11134,,,
Hardin County,Iowa,17302,,,
Harrison County,Iowa,14548,,,
Henry County,Iowa,20236,,,
Howard County,Iowa,9563,,,
Humboldt County,Iowa,9729,,,
Ida County,Iowa,7108,,,
Iowa County,Iowa,16189,,,
Jackson County,Iowa,19712,,,
Jasper County,Iowa,36602,,,
Jefferson County,Iowa,16867,,,
Johnson County,Iowa,136317,,,
Jones County,Iowa,20639,,,
Keokuk County,Iowa,10374,,,
Kossuth County,Iowa,15346,,,
Lee County,Iowa,35617,,,
Linn County,Iowa,215295,,,
Louisa County,Iowa,11278,,,
Lucas County,Iowa,8760,,,
Lyon County,Iowa,11757,,,
Madison County,Iowa,15654,,,
Mahaska County,Iowa,22443,,,
Marion County,Iowa,33419,,,
Marshall County,Iowa,40857,,,
Mills County,Iowa,14837,,,
Mitchell County,Iowa,10725,,,
Monona County,Iowa,9124,,,
Monroe County,Iowa,8063,,,
Montgomery County,Iowa,10566,,,
Muscatine County,Iowa,42879,,,
O'Brien County,Iowa,14172,,,
Osceola County,Iowa,6193,,,
Page County,Iowa,15713,,,
Palo Alto County,Iowa,9275,,,
Plymouth County,Iowa,24907,,,
Pocahontas County,Iowa,7150,,,
Polk County,Iowa,443710,,,
Pottawattamie County,Iowa,92913,,,
Poweshiek County,Iowa,18736,,,
Ringgold County,Iowa,5096,,,
Sac County,Iowa,10153,,,
Scott County,Iowa,168799,,,
Shelby County,Iowa,12069,,,
Sioux County,Iowa,34268,,,
Story County,Iowa,91140,,,
Tama County,Iowa,17536,,,
Taylor County,Iowa,6208,,,
Union County,Iowa,12594,,,
Van Buren County,Iowa,7449,,,
Wapello County,Iowa,35366,,,
Warren County,Iowa,46891,,,
Washington County,Iowa,21914,,,
Wayne County,Iowa,6344,,,
Webster County,Iowa,37273,,,
Winnebago County,Iowa,10600,,,
Winneshiek County,Iowa,21061,,,
Woodbury County,Iowa,102323,,,
Worth County,Iowa,7519,,,
Wright County,Iowa,12991,,,
Allen County,Kansas,13319,,,
Anderson County,Kansas,7917,,,
Atchison County,Kansas,16813,,,
Barber County,Kansas,4861,,,
Barton County,Kansas,27557,,,
Bourbon County,Kansas,14897,,,
Brown County,Kansas,9881,,,
Butler County,Kansas,65827,,,
Chase County,Kansas,2757,,,
Chautauqua County,Kansas,3571,,,
Cherokee County,Kansas,21226,,,
Cheyenne County,Kansas,2678,,,
Clark County,Kansas,2181,,,
Clay County,Kansas,8531,,,
Cloud County,Kansas,9397,,,
Coffey County,Kansas,8502,,,
Comanche County,Kansas,1913,,,
Cowley County,Kansas,36288,,,
Crawford County,Kansas,39361,,,
Decatur County,Kansas,2871,,,
Dickinson County,Kansas,19762,,,
Doniphan County,Kansas,7864,,,
Douglas County,Kansas,112864,,,
Edwards County,Kansas,2979,,,
Elk County,Kansas,2720,,,
Ellis County,Kansas,29053,,,
Ellsworth County,Kansas,6494,,,
Finney County,Kansas,37200,,,
Ford County,Kansas,34752,,,
Franklin County,Kansas,25906,,,
Geary County,Kansas,38013,,,
Gove County,Kansas,2729,,,
Graham County,Kansas,2578,,,
Grant County,Kansas,7923,,,
Gray County,Kansas,6030,,,
Greeley County,Kansas,1298,,,
Greenwood County,Kansas,6454,,,
Hamilton County,Kansas,2639,,,
Harper County,Kansas,5911,,,
Harvey County,Kansas,34852,,,
Haskell County,Kansas,4256,,,
Hodgeman County,Kansas,1963,,,
Jackson County,Kansas,13449,,,
Jefferson County,Kansas,18945,,,
Jewell County,Kansas,3046,,,
Johnson County,Kansas,559913,,,
Kearny County,Kansas,3968,,,
Kingman County,Kansas,7863,,,
Kiowa County,Kansas,2496,,,
Labette County,Kansas,21284,,,
Lane County,Kansas,1704,,,
Leavenworth County,Kansas,77739,,,
Lincoln County,Kansas,3174,,,
Linn County,Kansas,9441,,,
Logan County,Kansas,2784,,,
Lyon County,Kansas,33748,,,
McPherson County,Kansas,29356,,,
Marion County,Kansas,12347,,,
Marshall County,Kansas,10022,,,
Meade County,Kansas,4396,,,
Miami County,Kansas,32612,,,
Mitchell County,Kansas,6355,,,
Montgomery County,Kansas,34459,,,
Morris County,Kansas,5854,,,
Morton County,Kansas,3169,,,
Nemaha County,Kansas,10132,,,
Neosho County,Kansas,16406,,,
Ness County,Kansas,3068,,,
Norton County,Kansas,5612,,,
Osage County,Kansas,16142,,,
Osborne County,Kansas,3806,,,
Ottawa County,Kansas,6072,,,
Pawnee County,Kansas,6928,,,
Phillips County,Kansas,5519,,,
Pottawatomie County,Kansas,22302,,,
Pratt County,Kansas,9728,,,
Rawlins County,Kansas,2560,,,
Reno County,Kansas,64438,,,
Republic County,Kansas,4858,,,
Rice County,Kansas,9985,,,
Riley County,Kansas,75508,,,
Rooks County,Kansas,5223,,,
Rush County,Kansas,3220,,,
Russell County,Kansas,6946,,,
Saline County,Kansas,55988,,,
Scott County,Kansas,4937,,,
Sedgwick County,Kansas,503889,,,
Seward County,Kansas,23547,,,
Shawnee County,Kansas,178991,,,
Sheridan County,Kansas,2538,,,
Sherman County,Kansas,6113,,,
Smith County,Kansas,3765,,,
Stafford County,Kansas,4358,,,
Stanton County,Kansas,2175,,,
Stevens County,Kansas,5756,,,
Sumner County,Kansas,23674,,,
Thomas County,Kansas,7941,,,
Trego County,Kansas,2986,,,
Wabaunsee County,Kansas,7039,,,
Wallace County,Kansas,1517,,,
Washington County,Kansas,5758,,,
Wichita County,Kansas,2256,,,
Wilson County,Kansas,9105,,,
Woodson County,Kansas,3278,,,
Wyandotte County,Kansas,159129,,,
Adair County,Kentucky,18675,,,
Allen County,Kentucky,20210,,,
Anderson County,Kentucky,21728,,,
Ballard County,Kentucky,8333,,,
Barren County,Kentucky,42631,,,
Bath County,Kentucky,11802,,,
Bell County,Kentucky,28183,,,
Boone County,Kentucky,123316,,,
Bourbon County,Kentucky,19978,,,
Boyd County,Kentucky,49164,,,
Boyle County,Kentucky,28658,,,
Bracken County,Kentucky,8494,,,
Breathitt County,Kentucky,13635,,,
Breckinridge County,Kentucky,20071,,,
Bullitt County,Kentucky,75896,,,
Butler County,Kentucky,12840,,,
Caldwell County,Kentucky,12935,,,
Calloway County,Kentucky,37655,,,
Campbell County,Kentucky,90908,,,
Carlisle County,Kentucky,5034,,,
Carroll County,Kentucky,10900,,,
Carter County,Kentucky,27348,,,
Casey County,Kentucky,16082,,,
Christian County,Kentucky,75427,,,
Clark County,Kentucky,35787,,,
Clay County,Kentucky,21556,,,
Clinton County,Kentucky,10285,,,
Crittenden County,Kentucky,9280,,,
Cumberland County,Kentucky,6819,,,
Daviess County,Kentucky,97847,,,
Edmonson County,Kentucky,12071,,,
Elliott County,Kentucky,7780,,,
Estill County,Kentucky,14493,,,
Fayette County,Kentucky,305489,,,
Fleming County,Kentucky,14560,,,
Floyd County,Kentucky,38949,,,
Franklin County,Kentucky,49804,,,
Fulton County,Kentucky,6525,,,
Gallatin County,Kentucky,8479,,,
Garrard County,Kentucky,16913,,,
Grant County,Kentucky,24485,,,
Graves County,Kentucky,37544,,,
Grayson County,Kentucky,25964,,,
Green County,Kentucky,11315,,,
Greenup County,Kentucky,36707,,,
Hancock County,Kentucky,8677,,,
Hardin County,Kentucky,107025,,,
Harlan County,Kentucky,28543,,,
Harrison County,Kentucky,18624,,,
Hart County,Kentucky,18366,,,
Henderson County,Kentucky,46513,,,
Henry County,Kentucky,15318,,,
Hickman County,Kentucky,4754,,,
Hopkins County,Kentucky,46718,,,
Jackson County,Kentucky,13331,,,
Jefferson County,Kentucky,750828,,,
Jessamine County,Kentucky,49635,,,
Johnson County,Kentucky,23383,,,
Kenton County,Kentucky,161711,,,
Knott County,Kentucky,16124,,,
Knox County,Kentucky,31735,,,
Larue County,Kentucky,14151,,,
Laurel County,Kentucky,59462,,,
Lawrence County,Kentucky,15848,,,
Lee County,Kentucky,7706,,,
Leslie County,Kentucky,11170,,,
Letcher County,Kentucky,23952,,,
Lewis County,Kentucky,13835,,,
Lincoln County,Kentucky,24461,,,
Livingston County,Kentucky,9423,,,
Logan County,Kentucky,26646,,,
Lyon County,Kentucky,8351,,,
McCracken County,Kentucky,65549,,,
McCreary County,Kentucky,18069,,,
McLean County,Kentucky,9506,,,
Madison County,Kentucky,84786,,,
Magoffin County,Kentucky,13041,,,
Marion County,Kentucky,20090,,,
Marshall County,Kentucky,31344,,,
Martin County,Kentucky,12743,,,
Mason County,Kentucky,17512,,,
Meade County,Kentucky,29237,,,
Menifee County,Kentucky,6220,,,
Mercer County,Kentucky,21261,,,
Metcalfe County,Kentucky,9969,,,
Monroe County,Kentucky,10821,,,
Montgomery County,Kentucky,26902,,,
Morgan County,Kentucky,13668,,,
Muhlenberg County,Kentucky,31181,,,
Nelson County,Kentucky,44319,,,
Nicholas County,Kentucky,7000,,,
Ohio County,Kentucky,24075,,,
Oldham County,Kentucky,61412,,,
Owen County,Kentucky,10765,,,
Owsley County,Kentucky,4722,,,
Pendleton County,Kentucky,14604,,,
Perry County,Kentucky,28241,,,
Pike County,Kentucky,64178,,,
Powell County,Kentucky,12483,,,
Pulaski County,Kentucky,63593,,,
Robertson County,Kentucky,2188,,,
Rockcastle County,Kentucky,17006,,,
Rowan County,Kentucky,23447,,,
Russell County,Kentucky,17497,,,
Scott County,Kentucky,49057,,,
Shelby County,Kentucky,43614,,,
Simpson County,Kentucky,17538,,,
Spencer County,Kentucky,17416,,,
Taylor County,Kentucky,24691,,,
Todd County,Kentucky,12651,,,
Trigg County,Kentucky,14447,,,
Trimble County,Kentucky,8787,,,
Union County,Kentucky,14850,,,
Warren County,Kentucky,117110,,,
Washington County,Kentucky,11833,,,
Wayne County,Kentucky,20824,,,
Webster County,Kentucky,13583,,,
Whitley County,Kentucky,35499,,,
Wolfe County,Kentucky,7164,,,
Woodford County,Kentucky,25077,,,
Acadia Parish,Louisiana,61912,,,
Allen Parish,Louisiana,25539,,,
Ascension Parish,Louisiana,112286,,,
Assumption Parish,Louisiana,23026,,,
Avoyelles Parish,Louisiana,41632,,,
Beauregard Parish,Louisiana,36281,,,
Bienville Parish,Louisiana,14076,,,
Bossier Parish,Louisiana,122197,,,
Caddo Parish,Louisiana,257093,,,
Calcasieu Parish,Louisiana,194493,,,
Caldwell Parish,Louisiana,10004,,,
Cameron Parish,Louisiana,6702,,,
Catahoula Parish,Louisiana,10292,,,
Claiborne Parish,Louisiana,16828,,,
Concordia Parish,Louisiana,20365,,,
De Soto Parish,Louisiana,26963,,,
East Baton Rouge Parish,Louisiana,444526,,,
East Carroll Parish,Louisiana,7526,,,
East Feliciana Parish,Louisiana,20008,,,
Evangeline Parish,Louisiana,33710,,,
Franklin Parish,Louisiana,20561,,,
Grant Parish,Louisiana,22068,,,
Iberia Parish,Louisiana,73999,,,
Iberville Parish,Louisiana,33228,,,
Jackson Parish,Louisiana,16216,,,
Jefferson Parish,Louisiana,433676,,,
Jefferson Davis Parish,Louisiana,31432,,,
Lafayette Parish,Louisiana,227055,,,
Lafourche Parish,Louisiana,97029,,,
LaSalle Parish,Louisiana,14927,,,
Lincoln Parish,Louisiana,46953,,,
Livingston Parish,Louisiana,131942,,,
Madison Parish,Louisiana,12154,,,
Morehouse Parish,Louisiana,27559,,,
Natchitoches Parish,Louisiana,39436,,,
Orleans Parish,Louisiana,369250,,,
Ouachita Parish,Louisiana,155363,,,
Plaquemines Parish,Louisiana,23921,,,
Pointe Coupee Parish,Louisiana,22726,,,
Rapides Parish,Louisiana,132373,,,
Red River Parish,Louisiana,8983,,,
Richland Parish,Louisiana,20921,,,
Sabine Parish,Louisiana,24325,,,
St. Bernard Parish,Louisiana,41635,,,
St. Charles Parish,Louisiana,52681,,,
St. Helena Parish,Louisiana,11071,,,
St. James Parish,Louisiana,21722,,,
St. John the Baptist Parish,Louisiana,44758,,,
St. Landry Parish,Louisiana,83662,,,
St. Martin Parish,Louisiana,52726,,,
St. Mary Parish,Louisiana,53697,,,
St. Tammany Parish,Louisiana,239453,,,
Tangipahoa Parish,Louisiana,123441,,,
Tensas Parish,Louisiana,4954,,,
Terrebonne Parish,Louisiana,111893,,,
Union Parish,Louisiana,22419,,,
Vermilion Parish,Louisiana,58723,,,
Vernon Parish,Louisiana,53869,,,
Washington Parish,Louisiana,46670,,,
Webster Parish,Louisiana,40940,,,
West Baton Rouge Parish,Louisiana,24106,,,
West Carroll Parish,Louisiana,11512,,,
West Feliciana Parish,Louisiana,15405,,,
Winn Parish,Louisiana,15000,,,
Androscoggin County,Maine,107609,,,
Aroostook County,Maine,70868,,,
Cumberland County,Maine,283921,,,
Franklin County,Maine,30630,,,
Hancock County,Maine,54558,,,
Kennebec County,Maine,121853,,,
Knox County,Maine,39668,,,
Lincoln County,Maine,34180,,,
Oxford County,Maine,57481,,,
Penobscot County,Maine,153746,,,
Piscataquis County,Maine,17290,,,
Sagadahoc County,Maine,35191,,,
Somerset County,Maine,51910,,,
Waldo County,Maine,38820,,,
Washington County,Maine,32462,,,
York County,Maine,199005,,,
Allegany County,Maryland,74012,,,
Anne Arundel County,Maryland,550488,,,
Baltimore County,Maryland,817455,,,
Calvert County,Maryland,89628,,,
Caroline County,Maryland,32718,,,
Carroll County,Maryland,167217,,,
Cecil County,Maryland,101696,,,
Charles County,Maryland,150592,,,
Dorchester County,Maryland,32551,,,
Frederick County,Maryland,239582,,,
Garrett County,Maryland,29854,,,
Harford County,Maryland,248622,,,
Howard County,Maryland,299430,,,
Kent County,Maryland,20191,,,
Montgomery County,Maryland,1004709,,,
Prince George's County,Maryland,881138,,,
Queen Anne's County,Maryland,48595,,,
St. Mary's County,Maryland,108987,,,
Somerset County,Maryland,26253,,,
Talbot County,Maryland,38098,,,
Washington County,Maryland,149180,,,
Wicomico County,Maryland,100647,,,
Worcester County,Maryland,51578,,,
"Baltimore, City of",Maryland,621342,,,
Barnstable County,Massachusetts,215423,,,
Berkshire County,Massachusetts,130016,,,
Bristol County,Massachusetts,551082,,,
Dukes County,Massachusetts,17041,,,
Essex County,Massachusetts,755618,,,
Franklin County,Massachusetts,71540,,,
Hampden County,Massachusetts,465923,,,
Hampshire County,Massachusetts,159795,,,
Middlesex County,Massachusetts,1537215,,,
"Nantucket, Town and County of",Massachusetts,10298,,,
Norfolk County,Massachusetts,681845,,,
Plymouth County,Massachusetts,499759,,,
Suffolk County,Massachusetts,744426,,,
Worcester County,Massachusetts,806163,,,
Alcona County,Michigan,10635,,,
Alger County,Michigan,9541,,,
Allegan County,Michigan,112039,,,
Alpena County,Michigan,29234,,,
Antrim County,Michigan,23406,,,
Arenac County,Michigan,15477,,,
Baraga County,Michigan,8683,,,
Barry County,Michigan,58990,,,
Bay County,Michigan,106935,,,
Benzie County,Michigan,17465,,,
Berrien County,Michigan,156067,,,
Branch County,Michigan,43868,,,
Calhoun County,Michigan,135099,,,
Cass County,Michigan,52242,,,
Charlevoix County,Michigan,26023,,,
Cheboygan County,Michigan,25835,,,
Chippewa County,Michigan,38917,,,
Clare County,Michigan,30753,,,
Clinton County,Michigan,76001,,,
Crawford County,Michigan,14009,,,
Delta County,Michigan,36884,,,
Dickinson County,Michigan,26220,,,
Eaton County,Michigan,108008,,,
Emmet County,Michigan,32915,,,
Genesee County,Michigan,418408,,,
Gladwin County,Michigan,25484,,,
Gogebic County,Michigan,16084,,,
Grand Traverse County,Michigan,89112,,,
Gratiot County,Michigan,42063,,,
Hillsdale County,Michigan,46229,,,
Houghton County,Michigan,36520,,,
Huron County,Michigan,32463,,,
Ingham County,Michigan,281723,,,
Ionia County,Michigan,63941,,,
Iosco County,Michigan,25357,,,
Iron County,Michigan,11587,,,
Isabella County,Michigan,70617,,,
Jackson County,Michigan,160309,,,
Kalamazoo County,Michigan,254580,,,
Kalkaska County,Michigan,17099,,,
Kent County,Michigan,614462,,,
Keweenaw County,Michigan,2215,,,
Lake County,Michigan,11498,,,
Lapeer County,Michigan,88173,,,
Leelanau County,Michigan,21607,,,
Lenawee County,Michigan,98987,,,
Livingston County,Michigan,182838,,,
Luce County,Michigan,6522,,,
Mackinac County,Michigan,11137,,,
Macomb County,Michigan,847383,,,
Manistee County,Michigan,24672,,,
Marquette County,Michigan,67906,,,
Mason County,Michigan,28680,,,
Mecosta County,Michigan,43318,,,
Menominee County,Michigan,23815,,,
Midland County,Michigan,83822,,,
Missaukee County,Michigan,15031,,,
Monroe County,Michigan,151048,,,
Montcalm County,Michigan,63097,,,
Montmorency County,Michigan,9476,,,
Muskegon County,Michigan,170182,,,
Newaygo County,Michigan,47959,,,
Oakland County,Michigan,1220657,,,
Oceana County,Michigan,26310,,,
Ogemaw County,Michigan,21437,,,
Ontonagon County,Michigan,6413,,,
Osceola County,Michigan,23276,,,
Oscoda County,Michigan,8592,,,
Otsego County,Michigan,24020,,,
Ottawa County,Michigan,269099,,,
Presque Isle County,Michigan,13129,,,
Roscommon County,Michigan,24106,,,
Saginaw County,Michigan,198353,,,
St. Clair County,Michigan,160644,,,
St. Joseph County,Michigan,60796,,,
Sanilac County,Michigan,42268,,,
Schoolcraft County,Michigan,8343,,,
Shiawassee County,Michigan,69232,,,
Tuscola County,Michigan,54662,,,
Van Buren County,Michigan,75454,,,
Washtenaw County,Michigan,350946,,,
Wayne County,Michigan,1792365,,,
Wexford County,Michigan,32608,,,
Aitkin County,Minnesota,15927,,,
Anoka County,Minnesota,336414,,,
Becker County,Minnesota,33000,,,
Beltrami County,Minnesota,45375,,,
Benton County,Minnesota,38865,,,
Big Stone County,Minnesota,5164,,,
Blue Earth County,Minnesota,65091,,,
Brown County,Minnesota,25425,,,
Carlton County,Minnesota,35348,,,
Carver County,Minnesota,93707,,,
Cass County,Minnesota,28357,,,
Chippewa County,Minnesota,12135,,,
Chisago County,Minnesota,53452,,,
Clay County,Minnesota,60155,,,
Clearwater County,Minnesota,8703,,,
Cook County,Minnesota,5185,,,
Cottonwood County,Minnesota,11597,,,
Crow Wing County,Minnesota,62882,,,
Dakota County,Minnesota,405088,,,
Dodge County,Minnesota,20231,,,
Douglas County,Minnesota,36415,,,
Faribault County,Minnesota,14263,,,
Fillmore County,Minnesota,20834,,,
Freeborn County,Minnesota,31054,,,
Goodhue County,Minnesota,46336,,,
Grant County,Minnesota,5944,,,
Hennepin County,Minnesota,1184576,,,
Houston County,Minnesota,18837,,,
Hubbard County,Minnesota,20347,,,
Isanti County,Minnesota,38248,,,
Itasca County,Minnesota,45221,,,
Jackson County,Minnesota,10281,,,
Kanabec County,Minnesota,16005,,,
Kandiyohi County,Minnesota,42379,,,
Kittson County,Minnesota,4493,,,
Koochiching County,Minnesota,13208,,,
Lac qui Parle County,Minnesota,7109,,,
Lake County,Minnesota,10818,,,
Lake of the Woods County,Minnesota,3973,,,
Le Sueur County,Minnesota,27677,,,
Lincoln County,Minnesota,5818,,,
Lyon County,Minnesota,25543,,,
McLeod County,Minnesota,36053,,,
Mahnomen County,Minnesota,5536,,,
Marshall County,Minnesota,9449,,,
Martin County,Minnesota,20475,,,
Meeker County,Minnesota,23061,,,
Mille Lacs County,Minnesota,25740,,,
Morrison County,Minnesota,33052,,,
Mower County,Minnesota,39372,,,
Murray County,Minnesota,8577,,,
Nicollet County,Minnesota,32929,,,
Nobles County,Minnesota,21487,,,
Norman County,Minnesota,6634,,,
Olmsted County,Minnesota,147066,,,
Otter Tail County,Minnesota,57288,,,
Pennington County,Minnesota,14074,,,
Pine County,Minnesota,29218,,,
Pipestone County,Minnesota,9345,,,
Polk County,Minnesota,31416,,,
Pope County,Minnesota,10892,,,
Ramsey County,Minnesota,520152,,,
Red Lake County,Minnesota,4087,,,
Redwood County,Minnesota,15847,,,
Renville County,Minnesota,15369,,,
Rice County,Minnesota,64854,,,
Rock County,Minnesota,9553,,,
Roseau County,Minnesota,15476,,,
St. Louis County,Minnesota,200319,,,
Scott County,Minnesota,135152,,,
Sherburne County,Minnesota,89455,,,
Sibley County,Minnesota,15123,,,
Stearns County,Minnesota,151606,,,
Steele County,Minnesota,36322,,,
Stevens County,Minnesota,9663,,,
Swift County,Minnesota,9594,,,
Todd County,Minnesota,24509,,,
Traverse County,Minnesota,3451,,,
Wabasha County,Minnesota,21476,,,
Wadena County,Minnesota,13767,,,
Waseca County,Minnesota,19237,,,
Washington County,Minnesota,244088,,,
Watonwan County,Minnesota,11187,,,
Wilkin County,Minnesota,6585,,,
Winona County,Minnesota,51629,,,
Wright County,Minnesota,127336,,,
Yellow Medicine County,Minnesota,10158,,,
Adams County,Mississippi,32122,,,
Alcorn County,Mississippi,37164,,,
Amite County,Mississippi,12957,,,
Attala County,Mississippi,19157,,,
Benton County,Mississippi,8730,,,
Bolivar County,Mississippi,33904,,,
Calhoun County,Mississippi,14843,,,
Carroll County,Mississippi,10423,,,
Chickasaw County,Mississippi,17416,,,
Choctaw County,Mississippi,8346,,,
Claiborne County,Mississippi,9349,,,
Clarke County,Mississippi,16556,,,
Clay County,Mississippi,20427,,,
Coahoma County,Mississippi,25709,,,
Copiah County,Mississippi,28955,,,
Covington County,Mississippi,19607,,,
DeSoto County,Mississippi,166234,,,
Forrest County,Mississippi,76894,,,
Franklin County,Mississippi,7918,,,
George County,Mississippi,22930,,,
Greene County,Mississippi,14311,,,
Grenada County,Mississippi,21682,,,
Hancock County,Mississippi,45255,,,
Harrison County,Mississippi,194029,,,
Hinds County,Mississippi,248643,,,
Holmes County,Mississippi,18796,,,
Humphreys County,Mississippi,9189,,,
Issaquena County,Mississippi,1386,,,
Itawamba County,Mississippi,23340,,,
Jackson County,Mississippi,140298,,,
Jasper County,Mississippi,16523,,,
Jefferson County,Mississippi,7638,,,
Jefferson Davis County,Mississippi,12032,,,
Jones County,Mississippi,68641,,,
Kemper County,Mississippi,10335,,,
Lafayette County,Mississippi,49495,,,
Lamar County,Mississippi,57786,,,
Lauderdale County,Mississippi,80220,,,
Lawrence County,Mississippi,12551,,,
Leake County,Mississippi,23297,,,
Lee County,Mississippi,85042,,,
Leflore County,Mississippi,30948,,,
Lincoln County,Mississippi,34900,,,
Lowndes County,Mississippi,59670,,,
Madison County,Mississippi,98468,,,
Marion County,Mississippi,26442,,,
Marshall County,Mississippi,36612,,,
Monroe County,Mississippi,36421,,,
Montgomery County,Mississippi,10614,,,
Neshoba County,Mississippi,29785,,,
Newton County,Mississippi,21601,,,
Noxubee County,Mississippi,11218,,,
Oktibbeha County,Mississippi,48192,,,
Panola County,Mississippi,34473,,,
Pearl River County,Mississippi,55295,,,
Perry County,Mississippi,12086,,,
Pike County,Mississippi,40100,,,
Pontotoc County,Mississippi,30594,,,
Prentiss County,Mississippi,25390,,,
Quitman County,Mississippi,7798,,,
Rankin County,Mississippi,145165,,,
Scott County,Mississippi,28250,,,
Sharkey County,Mississippi,4799,,,
Simpson County,Mississippi,27374,,,
Smith County,Mississippi,16345,,,
Stone County,Mississippi,18028,,,
Sunflower County,Mississippi,28431,,,
Tallahatchie County,Mississippi,15111,,,
Tate County,Mississippi,28490,,,
Tippah County,Mississippi,22025,,,
Tishomingo County,Mississippi,19591,,,
Tunica County,Mississippi,10475,,,
Union County,Mississippi,27414,,,
Walthall County,Mississippi,15100,,,
Warren County,Mississippi,48084,,,
Washington County,Mississippi,49750,,,
Wayne County,Mississippi,20661,,,
Webster County,Mississippi,10039,,,
Wilkinson County,Mississippi,9432,,,
Winston County,Mississippi,19029,,,
Yalobusha County,Mississippi,12401,,,
Yazoo County,Mississippi,28195,,,
Adair County,Missouri,25581,,,
Andrew County,Missouri,17417,,,
Atchison County,Missouri,5517,,,
Audrain County,Missouri,25621,,,
Barry County,Missouri,35546,,,
Barton County,Missouri,12337,,,
Bates County,Missouri,16709,,,
Benton County,Missouri,18962,,,
Bollinger County,Missouri,12382,,,
Boone County,Missouri,168535,,,
Buchanan County,Missouri,89706,,,
Butler County,Missouri,43053,,,
Caldwell County,Missouri,9145,,,
Callaway County,Missouri,44305,,,
Camden County,Missouri,43845,,,
Cape Girardeau County,Missouri,76950,,,
Carroll County,Missouri,9086,,,
Carter County,Missouri,6262,,,
Cass County,Missouri,100376,,,
Cedar County,Missouri,13799,,,
Chariton County,Missouri,7649,,,
Christian County,Missouri,79824,,,
Clark County,Missouri,6969,,,
Clay County,Missouri,227577,,,
Clinton County,Missouri,20508,,,
Cole County,Missouri,76363,,,
Cooper County,Missouri,17520,,,
Crawford County,Missouri,24832,,,
Dade County,Missouri,7568,,,
Dallas County,Missouri,16799,,,
Daviess County,Missouri,8239,,,
DeKalb County,Missouri,12940,,,
Dent County,Missouri,15647,,,
Douglas County,Missouri,13585,,,
Dunklin County,Missouri,31826,,,
Franklin County,Missouri,101412,,,
Gasconade County,Missouri,14972,,,
Gentry County,Missouri,6777,,,
Greene County,Missouri,280626,,,
Grundy County,Missouri,10338,,,
Harrison County,Missouri,8728,,,
Henry County,Missouri,22153,,,
Hickory County,Missouri,9391,,,
Holt County,Missouri,4655,,,
Howard County,Missouri,10169,,,
Howell County,Missouri,40629,,,
Iron County,Missouri,10374,,,
Jackson County,Missouri,677377,,,
Jasper County,Missouri,115258,,,
Jefferson County,Missouri,220209,,,
Johnson County,Missouri,54397,,,
Knox County,Missouri,4082,,,
Laclede County,Missouri,35417,,,
Lafayette County,Missouri,33080,,,
Lawrence County,Missouri,38467,,,
Lewis County,Missouri,10174,,,
Lincoln County,Missouri,53354,,,
Linn County,Missouri,12484,,,
Livingston County,Missouri,15037,,,
McDonald County,Missouri,22876,,,
Macon County,Missouri,15573,,,
Madison County,Missouri,12448,,,
Maries County,Missouri,9014,,,
Marion County,Missouri,28745,,,
Mercer County,Missouri,3729,,,
Miller County,Missouri,24817,,,
Mississippi County,Missouri,14322,,,
Moniteau County,Missouri,15625,,,
Monroe County,Missouri,8703,,,
Montgomery County,Missouri,11996,,,
Morgan County,Missouri,20117,,,
New Madrid County,Missouri,18488,,,
Newton County,Missouri,59069,,,
Nodaway County,Missouri,23419,,,
Oregon County,Missouri,10997,,,
Osage County,Missouri,13858,,,
Ozark County,Missouri,9601,,,
Pemiscot County,Missouri,18111,,,
Perry County,Missouri,19018,,,
Pettis County,Missouri,42319,,,
Phelps County,Missouri,44987,,,
Pike County,Missouri,18565,,,
Platte County,Missouri,92054,,,
Polk County,Missouri,31017,,,
Pulaski County,Missouri,53259,,,
Putnam County,Missouri,4931,,,
Ralls County,Missouri,10277,,,
Randolph County,Missouri,25330,,,
Ray County,Missouri,23064,,,
Reynolds County,Missouri,6667,,,
Ripley County,Missouri,14036,,,
St. Charles County,Missouri,368666,,,
St. Clair County,Missouri,9474,,,
Ste. Genevieve County,Missouri,17740,,,
St. Francois County,Missouri,65917,,,
St. Louis County,Missouri,1000438,,,
Saline County,Missouri,23339,,,
Schuyler County,Missouri,4370,,,
Scotland County,Missouri,4877,,,
Scott County,Missouri,39139,,,
Shannon County,Missouri,8318,,,
Shelby County,Missouri,6234,,,
Stoddard County,Missouri,29795,,,
Stone County,Missouri,31568,,,
Sullivan County,Missouri,6546,,,
Taney County,Missouri,52956,,,
Texas County,Missouri,25810,,,
Vernon County,Missouri,20748,,,
Warren County,Missouri,32753,,,
Washington County,Missouri,25095,,,
Wayne County,Missouri,13402,,,
Webster County,Missouri,36351,,,
Worth County,Missouri,2079,,,
