County,State,Population 2000
Grand Isle County,Vermont,6901
Lamoille County,Vermont,23233
Orange County,Vermont,28226
Orleans County,Vermont,26277
Rutland County,Vermont,63400
Washington County,Vermont,58039
Windham County,Vermont,44216
Windsor County,Vermont,57418
Accomack County,Virginia,38305
Albemarle County,Virginia,79236
Alleghany County,Virginia,12926
Amelia County,Virginia,11400
Amherst County,Virginia,31894
Appomattox County,Virginia,13705
Arlington County,Virginia,189453
Augusta County,Virginia,65615
Bath County,Virginia,5048
Bedford County,Virginia,60371
Bland County,Virginia,6871
Botetourt County,Virginia,30496
Brunswick County,Virginia,18419
Buchanan County,Virginia,26978
Buckingham County,Virginia,15623
Campbell County,Virginia,51078
Caroline County,Virginia,22121
Carroll County,Virginia,29245
Charles City County,Virginia,6926
Charlotte County,Virginia,12472
Chesterfield County,Virginia,259903
Clarke County,Virginia,12652
Craig County,Virginia,5091
Culpeper County,Virginia,34262
Cumberland County,Virginia,9017
Dickenson County,Virginia,16395
Dinwiddie County,Virginia,24533
Essex County,Virginia,9989
Fairfax County,Virginia,969749
Fauquier County,Virginia,55139
Floyd County,Virginia,13874
Fluvanna County,Virginia,20047
Franklin County,Virginia,47286
Frederick County,Virginia,59209
Giles County,Virginia,16657
Gloucester County,Virginia,34780
Goochland County,Virginia,16863
Grayson County,Virginia,17917
Greene County,Virginia,15244
Greensville County,Virginia,11560
Halifax County,Virginia,37355
Hanover County,Virginia,86320
Henrico County,Virginia,262300
Henry County,Virginia,57930
Highland County,Virginia,2536
Isle of Wight County,Virginia,29728
James City County,Virginia,48102
King and Queen County,Virginia,6630
King George County,Virginia,16803
King William County,Virginia,13146
Lancaster County,Virginia,11567
Lee County,Virginia,23589
Loudoun County,Virginia,169599
Louisa County,Virginia,25627
Lunenburg County,Virginia,13146
Madison County,Virginia,12520
Mathews County,Virginia,9207
Mecklenburg County,Virginia,32380
Middlesex County,Virginia,9932
Montgomery County,Virginia,83629
Nelson County,Virginia,14445
New Kent County,Virginia,13462
Northampton County,Virginia,13093
Northumberland County,Virginia,12259
Nottoway County,Virginia,15725
Orange County,Virginia,25881
Page County,Virginia,23177
Patrick County,Virginia,19407
Pittsylvania County,Virginia,61745
Powhatan County,Virginia,22377
Prince Edward County,Virginia,19720
Prince George County,Virginia,33047
Prince William County,Virginia,280813
Pulaski County,Virginia,35127
Rappahannock County,Virginia,6983
Richmond County,Virginia,8809
Roanoke County,Virginia,85778
Rockbridge County,Virginia,20808
Rockingham County,Virginia,67725
Russell County,Virginia,30308
Scott County,Virginia,23403
Shenandoah County,Virginia,35075
Smyth County,Virginia,33081
Southampton County,Virginia,17482
Spotsylvania County,Virginia,90395
Stafford County,Virginia,92446
Surry County,Virginia,6829
Sussex County,Virginia,12504
Tazewell County,Virginia,44598
Warren County,Virginia,31584
Washington County,Virginia,51103
Westmoreland County,Virginia,16718
Wise County,Virginia,40123
Wythe County,Virginia,27599
York County,Virginia,56297
"Alexandria, City of",Virginia,128283
"Bedford, City of",Virginia,6299
"Bristol, City of",Virginia,17367
"Buena Vista, City of",Virginia,6349
"Charlottesville, City of",Virginia,45049
"Chesapeake, City of",Virginia,199184
"Colonial Heights, City of",Virginia,16897
"Covington, City of",Virginia,6303
"Danville, City of",Virginia,48411
"Emporia, City of",Virginia,5665
"Fairfax, City of",Virginia,21498
"Falls Church, City of",Virginia,10377
"Franklin, City of",Virginia,8346
"Fredericksburg, City of",Virginia,19279
"Galax, City of",Virginia,6837
"Hampton, City of",Virginia,146437
"Harrisonburg, City of",Virginia,40468
"Hopewell, City of",Virginia,22354
"Lexington, City of",Virginia,6867
"Lynchburg, City of",Virginia,65269
"Manassas, City of",Virginia,35135
"Manassas Park, City of",Virginia,10290
"Martinsville, City of",Virginia,15416
"Newport News, City of",Virginia,180150
"Norfolk, City of",Virginia,234403
"Norton, City of",Virginia,3904
"Petersburg, City of",Virginia,33740
"Poquoson, City of",Virginia,11566
"Portsmouth, City of",Virginia,100565
"Radford, City of",Virginia,15859
"Richmond, City of",Virginia,197790
"Roanoke, City of",Virginia,94911
"Salem, City of",Virginia,24747
"Staunton, City of",Virginia,23853
"Suffolk, City of",Virginia,63677
"Virginia Beach, City of",Virginia,425257
"Waynesboro, City of",Virginia,19520
"Williamsburg, City of",Virginia,11998
"Winchester, City of",Virginia,23585
Adams County,Washington,16428
Asotin County,Washington,20551
Benton County,Washington,142475
Chelan County,Washington,66616
Clallam County,Washington,64525
Clark County,Washington,345238
Columbia County,Washington,4064
Cowlitz County,Washington,92948
Douglas County,Washington,32603
Ferry County,Washington,7260
Franklin County,Washington,49347
Garfield County,Washington,2397
Grant County,Washington,74698
Grays Harbor County,Washington,67194
Island County,Washington,71558
Jefferson County,Washington,25953
King County,Washington,1737034
Kitsap County,Washington,231969
Kittitas County,Washington,33362
Klickitat County,Washington,19161
Lewis County,Washington,68600
Lincoln County,Washington,10184
Mason County,Washington,49405
Okanogan County,Washington,39564
Pacific County,Washington,20984
Pend Oreille County,Washington,11732
Pierce County,Washington,700820
San Juan County,Washington,14077
Skagit County,Washington,102979
Skamania County,Washington,9872
Snohomish County,Washington,606024
Spokane County,Washington,417939
Stevens County,Washington,40066
Thurston County,Washington,207355
Wahkiakum County,Washington,3824
Walla Walla County,Washington,55180
Whatcom County,Washington,166814
Whitman County,Washington,40740
Yakima County,Washington,222581
Barbour County,West Virginia,15557
Berkeley County,West Virginia,75905
Boone County,West Virginia,25535
Braxton County,West Virginia,14702
Brooke County,West Virginia,25447
Cabell County,West Virginia,96784
Calhoun County,West Virginia,7582
Clay County,West Virginia,10330
Doddridge County,West Virginia,7403
Fayette County,West Virginia,47579
Gilmer County,West Virginia,7160
Grant County,West Virginia,11299
Greenbrier County,West Virginia,34453
Hampshire County,West Virginia,20203
Hancock County,West Virginia,32667
Hardy County,West Virginia,12669
Harrison County,West Virginia,68652
Jackson County,West Virginia,28000
Jefferson County,West Virginia,42190
Kanawha County,West Virginia,200073
Lewis County,West Virginia,16919
Lincoln County,West Virginia,22108
Logan County,West Virginia,37710
McDowell County,West Virginia,27329
Marion County,West Virginia,56598
Marshall County,West Virginia,35519
Mason County,West Virginia,25957
Mercer County,West Virginia,62980
Mineral County,West Virginia,27078
Mingo County,West Virginia,28253
Monongalia County,West Virginia,81866
Monroe County,West Virginia,14583
Morgan County,West Virginia,14943
Nicholas County,West Virginia,26562
Ohio County,West Virginia,47427
Pendleton County,West Virginia,8196
Pleasants County,West Virginia,7514
Pocahontas County,West Virginia,9131
Preston County,West Virginia,29334
Putnam County,West Virginia,51589
Raleigh County,West Virginia,79220
Randolph County,West Virginia,28262
Ritchie County,West Virginia,10343
Roane County,West Virginia,15446
Summers County,West Virginia,12999
Taylor County,West Virginia,16089
Tucker County,West Virginia,7321
Tyler County,West Virginia,9592
Upshur County,West Virginia,23404
Wayne County,West Virginia,42903
Webster County,West Virginia,9719
Wetzel County,West Virginia,17693
Wirt County,West Virginia,5873
Wood County,West Virginia,87986
Wyoming County,West Virginia,25708
Adams County,Wisconsin,18643
Ashland County,Wisconsin,16866
Barron County,Wisconsin,44963
Bayfield County,Wisconsin,15013
Brown County,Wisconsin,226778
Buffalo County,Wisconsin,13804
Burnett County,Wisconsin,15674
Calumet County,Wisconsin,40631
Chippewa County,Wisconsin,55195
Clark County,Wisconsin,33557
Columbia County,Wisconsin,52468
Crawford County,Wisconsin,17243
Dane County,Wisconsin,426526
Dodge County,Wisconsin,85897
Door County,Wisconsin,27961
Douglas County,Wisconsin,43287
Dunn County,Wisconsin,39858
Eau Claire County,Wisconsin,93142
Florence County,Wisconsin,5088
Fond du Lac County,Wisconsin,97296
Forest County,Wisconsin,10024
Grant County,Wisconsin,49597
Green County,Wisconsin,33647
Green Lake County,Wisconsin,19105
Iowa County,Wisconsin,22780
Iron County,Wisconsin,6861
Jackson County,Wisconsin,19100
Jefferson County,Wisconsin,74021
Juneau County,Wisconsin,24316
Kenosha County,Wisconsin,149577
Kewaunee County,Wisconsin,20187
La Crosse County,Wisconsin,107120
Lafayette County,Wisconsin,16137
Langlade County,Wisconsin,20740
Lincoln County,Wisconsin,29641
Manitowoc County,Wisconsin,82887
Marathon County,Wisconsin,125834
Marinette County,Wisconsin,43384
Marquette County,Wisconsin,15832
Menominee County,Wisconsin,4562
Milwaukee County,Wisconsin,940164
Monroe County,Wisconsin,40899
Oconto County,Wisconsin,35634
Oneida County,Wisconsin,36776
Outagamie County,Wisconsin,160971
Ozaukee County,Wisconsin,82317
Pepin County,Wisconsin,7213
Pierce County,Wisconsin,36804
Polk County,Wisconsin,41319
Portage County,Wisconsin,67182
Price County,Wisconsin,15822
Racine County,Wisconsin,188831
Richland County,Wisconsin,17924
Rock County,Wisconsin,152307
Rusk County,Wisconsin,15347
St. Croix County,Wisconsin,63155
Sauk County,Wisconsin,55225
Sawyer County,Wisconsin,16196
Shawano County,Wisconsin,40664
Sheboygan County,Wisconsin,112646
Taylor County,Wisconsin,19680
Trempealeau County,Wisconsin,27010
Vernon County,Wisconsin,28056
Vilas County,Wisconsin,21033
Walworth County,Wisconsin,93759
Washburn County,Wisconsin,16036
Washington County,Wisconsin,117493
Waukesha County,Wisconsin,360767
Waupaca County,Wisconsin,51731
Waushara County,Wisconsin,23154
Winnebago County,Wisconsin,156763
Wood County,Wisconsin,75555
Albany County,Wyoming,32014
Big Horn County,Wyoming,11461
Campbell County,Wyoming,33698
Carbon County,Wyoming,15639
Converse County,Wyoming,12052
Crook County,Wyoming,5887
Fremont County,Wyoming,35804
Goshen County,Wyoming,12538
Hot Springs County,Wyoming,4882
Johnson County,Wyoming,7075
Laramie County,Wyoming,81607
Lincoln County,Wyoming,14573
Natrona County,Wyoming,66533
Niobrara County,Wyoming,2407
Park County,Wyoming,25786
Platte County,Wyoming,8807
Sheridan County,Wyoming,26560
Sublette County,Wyoming,5920
Sweetwater County,Wyoming,37613
Teton County,Wyoming,18251
Uinta County,Wyoming,19742
Washakie County,Wyoming,8289
Weston County,Wyoming,6644
